| People and Society | TURKS AND CAICOS ISLANDS |
| --- | --- |
| Nationality: | noun: none |
| Nationality: | adjective: none |
| Ethnic groups: | black 87.6%, white 7.9%, mixed 2.5%, East Indian 1.3%, other 0.7% (2006) |
| Languages: | English (official) |
| Religions: | Protestant 72.8% (Baptist 35.8%, Church of God 11.7%, Anglican 10%, Methodist 9.3%, Seventh-Day Adventist 6%), Roman Catholic 11.4%, Jehovah's Witnesses 1.8%, other 14% |
| Population: | 50,280 (July 2015 est.) |
| Age structure: | 0-14 years: 22.01% (male 5,637/female 5,429) |
| Age structure: | 15-24 years: 14.64% (male 3,614/female 3,748) |
| Age structure: | 25-54 years: 53.37% (male 13,598/female 13,238) |
| Age structure: | 55-64 years: 5.7% (male 1,558/female 1,309) |
| Age structure: | 65 years and over: 4.27% (male 958/female 1,191) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 32.4 years |
| population pyramid: | male: 32.7 years |
| population pyramid: | female: 32 years (2015 est.) |
| Population growth rate: | 2.3% (2015 est.) |
| Birth rate: | 16.13 births/1,000 population (2015 est.) |
| Death rate: | 3.1 deaths/1,000 population (2015 est.) |
| Net migration rate: | 9.94 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 92.2% of total population (2015) |
| Urbanization: | rate of urbanization: 2.48% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GRAND TURK (capital) 5,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.19 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 10.65 deaths/1,000 live births |
| Infant mortality rate: | male: 13.29 deaths/1,000 live births |
| Infant mortality rate: | female: 7.88 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.69 years |
| Life expectancy at birth: | male: 76.94 years |
| Life expectancy at birth: | female: 82.57 years (2015 est.) |
| Total fertility rate: | 1.7 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 87.1% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 12.9% of population (2007 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 81.4% of population |
| Sanitation facility access: | rural: 81.4% of population |
| Sanitation facility access: | total: 81.4% of population |
| unimproved: | urban: 18.6% of population |
| unimproved: | rural: 18.6% of population |
| unimproved: | total: 18.6% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| People - note: | destination and transit point for illegal Haitian immigrants bound for the Turks and Caicos Islands, The Bahamas, and the US |
