| People and Society | Turks and Caicos Islands |
| --- | --- |
| Nationality: | noun: none |
| Nationality: | adjective: none |
| Ethnic groups: | black 87.6%, white 7.9%, mixed 2.5%, East Indian 1.3%, other 0.7% (2006) |
| Languages: | English (official) |
| Religions: | Protestant 72.8% (Baptist 35.8%, Church of God 11.7%, Anglican 10%, Methodist 9.3%, Seventh-Day Adventist 6%), Roman Catholic 11.4%, Jehovah's Witnesses 1.8%, other 14% |
| Population: | 47,754 (July 2013 est.) |
| Age structure: | 0-14 years: 22.3% (male 5,427/female 5,227) |
| Age structure: | 15-24 years: 15% (male 3,482/female 3,688) |
| Age structure: | 25-54 years: 53.5% (male 13,019/female 12,548) |
| Age structure: | 55-64 years: 5% (male 1,309/female 1,083) |
| Age structure: | 65 years and over: 4.1% (male 875/female 1,096) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.4 years |
| population pyramid: | male: 31.7 years |
| population pyramid: | female: 31 years (2013 est.) |
| Population growth rate: | 2.87% (2013 est.) |
| Birth rate: | 17.05 births/1,000 population (2013 est.) |
| Death rate: | 3.06 deaths/1,000 population (2013 est.) |
| Net migration rate: | 14.66 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 93% of total population (2010) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GRAND TURK (capital) 6,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.21 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 11.29 deaths/1,000 live births |
| Infant mortality rate: | male: 14.13 deaths/1,000 live births |
| Infant mortality rate: | female: 8.31 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.4 years |
| Life expectancy at birth: | male: 76.67 years |
| Life expectancy at birth: | female: 82.27 years (2013 est.) |
| Total fertility rate: | 1.7 children born/woman (2013 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 4% of population (2000 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98% |
| Literacy: | male: 99% |
| Literacy: | female: 98% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2005) |
| People - note: | destination and transit point for illegal Haitian immigrants bound for the Turks and Caicos Islands, The Bahamas, and the US |
