| People and Society | Guyana |
| --- | --- |
| Population: | 750,204 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Guyanese (singular and plural) |
| Nationality: | adjective: Guyanese |
| Ethnic groups: | East Indian 39.8%, African descent 29.3%, mixed 19.9%, Amerindian 10.5%, other 0.5% (includes Portuguese, Chinese, white) (2012 est.) |
| Languages: | English (official), Guyanese Creole, Amerindian languages (including Caribbean and Arawak languages), Indian languages (including Caribbean Hindustani, a dialect of Hindi), Chinese (2014 est.) |
| Religions: | Protestant 34.8% (Pentecostal 22.8%, Seventh Day Adventist 5.4%, Anglican 5.2%, Methodist 1.4%), Hindu 24.8%, Roman Catholic 7.1%, Muslim 6.8%, Jehovah's Witness 1.3%, Rastafarian 0.5%, other Christian 20.8%, other 0.9%, none 3.1% (2012 est.) |
| Demographic profile: | Guyana is the only English-speaking country in South America and shares cultural and historical bonds with the Anglophone Caribbean. Guyana's two largest ethnic groups are the Afro-Guyanese (descendants of African slaves) and the Indo-Guyanese (descendants of Indian indentured laborers), which together comprise about three quarters of Guyana's population. Tensions periodically have boiled over between the two groups, which back ethnically based political parties and vote along ethnic lines. Poverty reduction has stagnated since the late 1990s. About one-third of the Guyanese population lives below the poverty line; indigenous people are disproportionately affected. Although Guyana's literacy rate is reported to be among the highest in the Western Hemisphere, the level of functional literacy is considerably lower, which has been attributed to poor education quality, teacher training, and infrastructure. |
| Demographic profile: | Guyana's emigration rate is among the highest in the world - more than 55% of its citizens reside abroad - and it is one of the largest recipients of remittances relative to GDP among Latin American and Caribbean counties. Although remittances are a vital source of income for most citizens, the pervasive emigration of skilled workers deprives Guyana of professionals in healthcare and other key sectors. More than 80% of Guyanese nationals with tertiary level educations have emigrated. Brain drain and the concentration of limited medical resources in Georgetown hamper Guyana's ability to meet the health needs of its predominantly rural population. Guyana has one of the highest HIV prevalence rates in the region and continues to rely on international support for its HIV treatment and prevention programs. |
| Age structure: | 0-14 years: 23.91% (male 91,317/female 88,025) |
| Age structure: | 15-24 years: 21.23% (male 81,294/female 77,987) |
| Age structure: | 25-54 years: 39.48% (male 154,825/female 141,385) |
| Age structure: | 55-64 years: 8.37% (male 29,385/female 33,386) |
| Age structure: | 65 years and over: 7.01% (male 21,325/female 31,275) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.2 |
| Dependency ratios: | youth dependency ratio: 42.5 |
| Dependency ratios: | elderly dependency ratio: 10.7 |
| Dependency ratios: | potential support ratio: 9.3 (2020 est.) |
| Median age: | total: 27.5 years |
| Median age: | male: 27.2 years |
| Median age: | female: 27.9 years (2020 est.) |
| Population growth rate: | 0.72% (2020 est.) |
| Birth rate: | 15.5 births/1,000 population (2020 est.) |
| Death rate: | 7.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population is heavily concentrated in the northeast in and around Georgetown, with noteable concentrations along the Berbice River to the east; the remainder of the country is sparsely populated |
| Urbanization: | urban population: 26.8% of total population (2020) |
| Urbanization: | rate of urbanization: 0.83% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 110,000 GEORGETOWN (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.8 years (2009 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 667 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 27.6 deaths/1,000 live births |
| Infant mortality rate: | male: 31.3 deaths/1,000 live births |
| Infant mortality rate: | female: 23.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 69.5 years |
| Life expectancy at birth: | male: 66.5 years |
| Life expectancy at birth: | female: 72.6 years (2020 est.) |
| Total fertility rate: | 1.89 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 33.9% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 95.6% of population |
| Drinking water source: | total: 96.7% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 38.7% of population |
| Drinking water source: | total: 26.5% of population (2017 est.) |
| Current Health Expenditure: | 4.9% (2017) |
| Physicians density: | 0.8 physicians/1,000 population (2018) |
