| People and Society | West Bank |
| --- | --- |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab and other 83%, Jewish 17% |
| Languages: | Arabic, Hebrew (spoken by Israeli settlers and many Palestinians), English (widely understood) |
| Religions: | Muslim 75% (predominantly Sunni), Jewish 17%, Christian and other 8% |
| Population: | 2,676,740 (July 2013 est.) |
| Population: | note: approximately 341,400 Israeli settlers live in the West Bank (2012); approximately 196,400 Israeli settlers live in East Jerusalem (2011) |
| Age structure: | 0-14 years: 34.4% (male 472,123/female 447,803) |
| Age structure: | 15-24 years: 21.8% (male 298,875/female 284,545) |
| Age structure: | 25-54 years: 35.9% (male 494,253/female 466,660) |
| Age structure: | 55-64 years: 4.2% (male 55,785/female 55,872) |
| Age structure: | 65 years and over: 3.8% (male 42,119/female 58,705) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 75.6 % |
| population pyramid: | youth dependency ratio: 70.4 % |
| population pyramid: | elderly dependency ratio: 5.2 % |
| population pyramid: | potential support ratio: 19.2 |
| population pyramid: | note: data represents the Palestinian Territories (2013) |
| Median age: | total: 22 years |
| Median age: | male: 21.8 years |
| Median age: | female: 22.1 years (2013 est.) |
| Population growth rate: | 2.03% (2013 est.) |
| Birth rate: | 23.81 births/1,000 population (2013 est.) |
| Death rate: | 3.53 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 74.3% of total population (2011) |
| Urbanization: | rate of urbanization: 3.1% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2013 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 13.98 deaths/1,000 live births |
| Infant mortality rate: | male: 15.71 deaths/1,000 live births |
| Infant mortality rate: | female: 12.15 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.46 years |
| Life expectancy at birth: | male: 73.38 years |
| Life expectancy at birth: | female: 77.67 years (2013 est.) |
| Total fertility rate: | 2.91 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 2.2% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.3% |
| Literacy: | male: 97.9% |
| Literacy: | female: 92.6% |
| Literacy: | notes: estimates are for the Palestinian Territories (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2006) |
| Unemployment, youth ages 15-24: | total: 38.8% |
| Unemployment, youth ages 15-24: | male: 36.8% |
| Unemployment, youth ages 15-24: | female: 49.6% |
| Unemployment, youth ages 15-24: | note: includes Gaza (2010) |
