| People and Society | WEST BANK |
| --- | --- |
| Population: | 2,747,943 (July 2017 est.) |
| Population: | note: approximately 391,000 Israeli settlers live in the West Bank (2016); approximately 201,200 Israeli settlers live in East Jerusalem (2014) |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab, Jewish, other |
| Languages: | Arabic, Hebrew (spoken by Israeli settlers and many Palestinians), English (widely understood) |
| Religions: | Muslim 80-85% (predominantly Sunni), Jewish 12-14%, Christian 1-2.5% (mainly Greek Orthodox), other, unaffiliated, unspecified <1% (2012 est.) |
| Age structure: | 0-14 years: 36.5% (male 514,691/female 488,233) |
| Age structure: | 15-24 years: 21.37% (male 299,859/female 287,367) |
| Age structure: | 25-54 years: 34.1% (male 475,860/female 461,252) |
| Age structure: | 55-64 years: 4.54% (male 64,275/female 60,507) |
| Age structure: | 65 years and over: 3.49% (male 43,060/female 52,839) (2017 est.) |
| Dependency ratios: | total dependency ratio: 75.8 |
| Dependency ratios: | youth dependency ratio: 70.5 |
| Dependency ratios: | elderly dependency ratio: 5.2 |
| Dependency ratios: | potential support ratio: 19.1 |
| Dependency ratios: | note: data represent Gaza Strip and the West Bank (2015 est.) |
| Median age: | total: 21.1 years |
| Median age: | male: 20.9 years |
| Median age: | female: 21.3 years (2017 est.) |
| Population growth rate: | 1.84% (2017 est.) |
| Birth rate: | 26.3 births/1,000 population (2017 est.) |
| Death rate: | 3.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -4.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | Palestinian settlements are primarily located in the central to western half of the territory; Jewish settlements are found in pockets throughout, particularly in the northeast, north-central, and around Jerusalem |
| Urbanization: | urban population: 75.7% of total population (2017) |
| Urbanization: | rate of urbanization: 2.75% annual rate of change (2015-20 est.) |
| Urbanization: | note: data represent Gaza Strip and the West Bank |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births |
| Maternal mortality rate: | note: data represent Gaza Strip and the West Bank (2015 est.) |
| Infant mortality rate: | total: 14.1 deaths/1,000 live births |
| Infant mortality rate: | male: 15.8 deaths/1,000 live births |
| Infant mortality rate: | female: 12.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.2 years |
| Life expectancy at birth: | male: 73.2 years |
| Life expectancy at birth: | female: 77.4 years (2017 est.) |
| Total fertility rate: | 3.27 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 57.2% (includes Gaza Strip and West Bank) (2014) |
| Physicians density: | 1.3 physicians/1,000 population (2013) |
| Hospital bed density: | 1.2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 50.7% of population |
| Drinking water source: | rural: 81.5% of population |
| Drinking water source: | total: 58.4% of population |
| unimproved: | urban: 49.3% of population |
| unimproved: | rural: 18.5% of population |
| unimproved: | total: 41.6% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 90.2% of population |
| Sanitation facility access: | total: 92.3% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 9.8% of population |
| unimproved: | total: 7.7% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 1.4% |
| Children under the age of 5 years underweight: | note: estimate are for Gaza and the West Bank (2014) |
| Education expenditures: | 1.3% of GDP |
| Education expenditures: | note: includes Gaza Strip (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.9% |
| Literacy: | male: 98.6% |
| Literacy: | female: 95.2% |
| Literacy: | note: estimates are for Gaza and the West Bank (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years |
| School life expectancy (primary to tertiary education): | note: data represent Gaza and the West Bank (2015) |
| Unemployment, youth ages 15-24: | total: 40.7% |
| Unemployment, youth ages 15-24: | male: 36.4% |
| Unemployment, youth ages 15-24: | female: 60.8% |
| Unemployment, youth ages 15-24: | note: includes Gaza Strip (2015 est.) |
