| People and Society | Iraq |
| --- | --- |
| Population: | 40,194,216 (July 2018 est.) |
| Nationality: | noun: Iraqi(s) |
| Nationality: | adjective: Iraqi |
| Ethnic groups: | Arab 75-80%, Kurdish 15-20%, other 5% (includes Turkmen, Yezidi, Shabak, Kaka'i, Bedouin, Romani, Assyrian, Circassian, Sabaean-Mandaean, Persian) |
| Ethnic groups: | note: data is a 1987 government estimate; no more recent reliable numbers are available |
| Languages: | Arabic (official), Kurdish (official), Turkmen (a Turkish dialect), Syriac (Neo-Aramaic), and Armenian are official in areas where native speakers of these languages constitute a majority of the population |
| Religions: | Muslim (official) 95-98% (Shia 64-69%, Sunni 29-34%), Christian 1% (includes Catholic, Orthodox, Protestant, Assyrian Church of the East), other 1-4% (2015 est.) |
| Religions: | note: while there has been voluntary relocation of many Christian families to northern Iraq, the overall Christian population has decreased at least 50% and perhaps as high as 90% since the fall of the SADDAM Husayn regime in 2003, according to US Embassy estimates, with many fleeing to Syria, Jordan, and Lebanon |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 39.01% (male 8,005,327 /female 7,674,802) |
| Age structure: | 15-24 years: 19.42% (male 3,976,085 /female 3,829,086) |
| Age structure: | 25-54 years: 33.97% (male 6,900,984 /female 6,752,797) |
| Age structure: | 55-64 years: 4.05% (male 788,602 /female 839,291) |
| Age structure: | 65 years and over: 3.55% (male 632,753 /female 794,489) (2018 est.) |
| Dependency ratios: | total dependency ratio: 77.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 72.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 18.3 (2015 est.) |
| Median age: | total: 20.2 years (2018 est.) |
| Median age: | male: 20 years |
| Median age: | female: 20.5 years |
| Population growth rate: | 2.5% (2018 est.) |
| Birth rate: | 30 births/1,000 population (2018 est.) |
| Death rate: | 3.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population is concentrated in the north, center, and eastern parts of the country, with many of the larger urban agglomerations found along extensive parts of the Tigris and Euphrates Rivers; much of the western and southern areas are either lightly populated or uninhabited |
| Urbanization: | urban population: 70.7% of total population (2019) |
| Urbanization: | rate of urbanization: 3.06% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 6.974 million BAGHDAD (capital), 1.578 million Mosul, 1.325 million Basra, 996,000 Kirkuk, 833,000 Erbil, 847,000 Najaf (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2018 est.) |
| Maternal mortality rate: | 79 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 37.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 40.6 deaths/1,000 live births |
| Infant mortality rate: | female: 34.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 74.9 years (2018 est.) |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 77.2 years |
| Total fertility rate: | 3.94 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 52.8% (2018) |
| Drinking water source: | improved: urban: 93.8% of population |
| Drinking water source: | rural: 70.1% of population |
| Drinking water source: | total: 86.6% of population |
| Drinking water source: | unimproved: urban: 6.2% of population |
| Drinking water source: | rural: 29.9% of population |
| Drinking water source: | total: 13.4% of population (2015 est.) |
| Current Health Expenditure: | 3.3% (2016) |
| Physicians density: | 0.82 physicians/1,000 population (2017) |
| Hospital bed density: | 1.4 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 86.4% of population (2015 est.) |
| Sanitation facility access: | rural: 83.8% of population (2015 est.) |
| Sanitation facility access: | total: 85.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 13.6% of population (2015 est.) |
| Sanitation facility access: | rural: 16.2% of population (2015 est.) |
| Sanitation facility access: | total: 14.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Obesity - adult prevalence rate: | 30.4% (2016) |
| Children under the age of 5 years underweight: | 7.2% (2011) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.7% |
| Literacy: | male: 85.7% |
| Literacy: | female: 73.7% (2015) |
| Unemployment, youth ages 15-24: | total: 25.6% |
| Unemployment, youth ages 15-24: | male: 22% |
| Unemployment, youth ages 15-24: | female: 63.3% (2017) |
