| People and Society | Iraq |
| --- | --- |
| Nationality: | noun: Iraqi(s) |
| Nationality: | adjective: Iraqi |
| Ethnic groups: | Arab 75%-80%, Kurdish 15%-20%, Turkoman, Assyrian, or other 5% |
| Languages: | Arabic (official), Kurdish (official in Kurdish regions), Turkoman (a Turkish dialect), Assyrian (Neo-Aramaic), Armenian |
| Religions: | Muslim (official) 97% (Shia 60%-65%, Sunni 32%-37%), Christian or other 3% |
| Religions: | note: while there has been voluntary relocation of many Christian families to northern Iraq, recent reporting indicates that the overall Christian population may have dropped by as much as 50 percent since the fall of the Saddam HUSSEIN regime in 2003, with many fleeing to Syria, Jordan, and Lebanon |
| Population: | 30,399,572 (July 2011 est.) |
| Age structure: | 0-14 years: 38% (male 5,882,682/female 5,678,741) |
| Age structure: | 15-64 years: 58.9% (male 9,076,558/female 8,826,545) |
| Age structure: | 65 years and over: 3.1% (male 435,908/female 499,138) (2011 est.) |
| Median age: | total: 20.9 years |
| Median age: | male: 20.8 years |
| Median age: | female: 21 years (2011 est.) |
| Population growth rate: | 2.399% (2011 est.) |
| Birth rate: | 28.81 births/1,000 population (2011 est.) |
| Death rate: | 4.82 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 66% of total population (2010) |
| Urbanization: | rate of urbanization: 2.6% annual rate of change (2010-15 est.) |
| Major cities - population: | BAGHDAD (capital) 5.751 million; Mosul 1.447 million; Erbil 1.009 million; Basra 923,000; As Sulaymaniyah 836,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 75 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 41.68 deaths/1,000 live births |
| Infant mortality rate: | male: 45.93 deaths/1,000 live births |
| Infant mortality rate: | female: 37.21 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 70.55 years |
| Life expectancy at birth: | male: 69.15 years |
| Life expectancy at birth: | female: 72.02 years (2011 est.) |
| Total fertility rate: | 3.67 children born/woman (2011 est.) |
| Health expenditures: | 9.7% of GDP (2009) |
| Physicians density: | 0.69 physicians/1,000 population (2009) |
| Hospital bed density: | 1.3 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 55% of population |
| Drinking water source: | total: 79% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 21% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76% of population |
| Sanitation facility access: | rural: 66% of population |
| Sanitation facility access: | total: 73% of population |
| unimproved: | urban: 24% of population |
| unimproved: | rural: 34% of population |
| unimproved: | total: 27% of population (2008) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 500 (2003 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 7.1% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.1% |
| Literacy: | male: 84.1% |
| Literacy: | female: 64.2% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
