| People and Society | Iraq |
| --- | --- |
| Population: | 38,872,655 (July 2020 est.) |
| Nationality: | noun: Iraqi(s) |
| Nationality: | adjective: Iraqi |
| Ethnic groups: | Arab 75-80%, Kurdish 15-20%, other 5% (includes Turkmen, Yezidi, Shabak, Kaka'i, Bedouin, Romani, Assyrian, Circassian, Sabaean-Mandaean, Persian) |
| Ethnic groups: | note: data is a 1987 government estimate; no more recent reliable numbers are available |
| Languages: | Arabic (official), Kurdish (official), Turkmen (a Turkish dialect), Syriac (Neo-Aramaic), and Armenian are official in areas where native speakers of these languages constitute a majority of the population |
| Religions: | Muslim (official) 95-98% (Shia 64-69%, Sunni 29-34%), Christian 1% (includes Catholic, Orthodox, Protestant, Assyrian Church of the East), other 1-4% (2015 est.) |
| Religions: | note: while there has been voluntary relocation of many Christian families to northern Iraq, the overall Christian population has decreased at least 50% and perhaps as high as 90% since the fall of the SADDAM Husayn regime in 2003, according to US Embassy estimates, with many fleeing to Syria, Jordan, and Lebanon |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 37.02% (male 7,349,868/female 7,041,405) |
| Age structure: | 15-24 years: 19.83% (male 3,918,433/female 3,788,157) |
| Age structure: | 25-54 years: 35.59% (male 6,919,569/female 6,914,856) |
| Age structure: | 55-64 years: 4.23% (male 805,397/female 839,137) |
| Age structure: | 65 years and over: 3.33% (male 576,593/female 719,240) (2020 est.) |
| Dependency ratios: | total dependency ratio: 69.9 |
| Dependency ratios: | youth dependency ratio: 64.1 |
| Dependency ratios: | elderly dependency ratio: 5.9 |
| Dependency ratios: | potential support ratio: 17.1 (2020 est.) |
| Median age: | total: 21.2 years |
| Median age: | male: 20.8 years |
| Median age: | female: 21.6 years (2020 est.) |
| Population growth rate: | 2.16% (2020 est.) |
| Birth rate: | 25.7 births/1,000 population (2020 est.) |
| Death rate: | 3.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population is concentrated in the north, center, and eastern parts of the country, with many of the larger urban agglomerations found along extensive parts of the Tigris and Euphrates Rivers; much of the western and southern areas are either lightly populated or uninhabited |
| Urbanization: | urban population: 70.9% of total population (2020) |
| Urbanization: | rate of urbanization: 3.06% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 7.144Â million BAGHDAD (capital), 1.630 million Mosul, 1.352 million Basra,Â 1.013 millionÂ Kirkuk, 874,000 Najaf, 846,000 Erbil (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2020 est.) |
| Maternal mortality rate: | 79 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 19.5 deaths/1,000 live births |
| Infant mortality rate: | male: 20.9 deaths/1,000 live births |
| Infant mortality rate: | female: 18.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 72.6 years |
| Life expectancy at birth: | male: 70.7 years |
| Life expectancy at birth: | female: 74.6 years (2020 est.) |
| Total fertility rate: | 3.39 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 52.8% (2018) |
| Drinking water source: | improved: urban: 98.8% of population |
| Drinking water source: | rural: 95% of population |
| Drinking water source: | total: 97.9% of population |
| Drinking water source: | unimproved: urban: 1.2% of population |
| Drinking water source: | rural: 5% of population |
| Drinking water source: | total: 2.1% of population (2017 est.) |
| Current Health Expenditure: | 4.2% (2017) |
| Physicians density: | 0.84 physicians/1,000 population (2017) |
| Hospital bed density: | 1.3 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 96.7% of population |
| Sanitation facility access: | rural: 89.7% of population |
| Sanitation facility access: | total: 95.2% of population |
| Sanitation facility access: | unimproved: urban: 3.3% of population |
| Sanitation facility access: | rural: 10.3% of population |
| Sanitation facility access: | total: 4.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Iraq; as of 8 December 2020, Iraq has reported a total of 562,520 cases of COVID-19 or 13,985 cumulative cases of COVID-19 per 1 million population with 309 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 30.4% (2016) |
| Children under the age of 5 years underweight: | 3.9% (2018) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 50.1% |
| Literacy: | male: 56.2% |
| Literacy: | female: 44% (2018) |
| Unemployment, youth ages 15-24: | total: 25.6% |
| Unemployment, youth ages 15-24: | male: 22% |
| Unemployment, youth ages 15-24: | female: 63.3% (2017) |
