| People and Society | Estonia |
| --- | --- |
| Nationality: | noun: Estonian(s) |
| Nationality: | adjective: Estonian |
| Ethnic groups: | Estonian 68.7%, Russian 24.8%, Ukrainian 1.7%, Belarusian 1%, Finn 0.6%, other 1.6%, unspecified 1.6% (2011 est.) |
| Languages: | Estonian (official) 68.5%, Russian 29.6%, Ukrainian 0.6%, other 1.2%, unspecified 0.1% (2011 est.) |
| Religions: | Lutheran 9.9%, Orthodox 16.2%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 2.2%, other 0.9%, none 54.1%, unspecified 16.7% (2011 est.) |
| Population: | 1,257,921 (July 2014 est.) |
| Age structure: | 0-14 years: 15.6% (male 101,018/female 95,204) |
| Age structure: | 15-24 years: 11.2% (male 72,318/female 68,373) |
| Age structure: | 25-54 years: 41.5% (male 250,244/female 271,450) |
| Age structure: | 55-64 years: 13.2% (male 71,518/female 94,029) |
| Age structure: | 65 years and over: 18.2% (male 77,492/female 156,275) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52 % |
| population pyramid: | youth dependency ratio: 24.3 % |
| population pyramid: | elderly dependency ratio: 27.7 % |
| population pyramid: | potential support ratio: 3.6 (2014 est.) |
| Median age: | total: 41.2 years |
| Median age: | male: 37.6 years |
| Median age: | female: 44.5 years (2014 est.) |
| Population growth rate: | -0.68% (2014 est.) |
| Birth rate: | 10.29 births/1,000 population (2014 est.) |
| Death rate: | 13.69 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.37 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 69.5% of total population (2011) |
| Urbanization: | rate of urbanization: 0.02% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TALLINN (capital) 400,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.49 male(s)/female |
| Sex ratio: | total population: 0.84 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 26.4 (2011 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 6.7 deaths/1,000 live births |
| Infant mortality rate: | male: 7.81 deaths/1,000 live births |
| Infant mortality rate: | female: 5.52 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.07 years |
| Life expectancy at birth: | male: 68.85 years |
| Life expectancy at birth: | female: 79.61 years (2014 est.) |
| Total fertility rate: | 1.46 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 63.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2005) |
| Health expenditures: | 6% of GDP (2011) |
| Physicians density: | 3.34 physicians/1,000 population (2010) |
| Hospital bed density: | 5.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.8% of population |
| Drinking water source: | rural: 97.6% of population |
| Drinking water source: | total: 99.1% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 2.4% of population |
| unimproved: | total: 0.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.8% of population |
| Sanitation facility access: | rural: 93.8% of population |
| Sanitation facility access: | total: 95.2% of population |
| unimproved: | urban: 4.2% of population |
| unimproved: | rural: 6.2% of population |
| unimproved: | total: 4.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis (2013) |
| Obesity - adult prevalence rate: | 20.6% (2008) |
| Education expenditures: | 5.7% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2010) |
| Unemployment, youth ages 15-24: | total: 20.9% |
| Unemployment, youth ages 15-24: | male: 23.4% |
| Unemployment, youth ages 15-24: | female: 17.9% (2012) |
