| People and Society | Estonia |
| --- | --- |
| Nationality: | noun: Estonian(s) |
| Nationality: | adjective: Estonian |
| Ethnic groups: | Estonian 68.7%, Russian 25.6%, Ukrainian 2.1%, Belarusian 1.2%, Finn 0.8%, other 1.6% (2008 census) |
| Languages: | Estonian (official) 67.3%, Russian 29.7%, other 2.3%, unknown 0.7% (2000 census) |
| Religions: | Evangelical Lutheran 13.6%, Orthodox 12.8%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 1.4%, unaffiliated 34.1%, other and unspecified 32%, none 6.1% (2000 census) |
| Population: | 1,282,963 (July 2011 est.) |
| Age structure: | 0-14 years: 15.1% (male 99,919/female 94,066) |
| Age structure: | 15-64 years: 67.2% (male 410,132/female 451,736) |
| Age structure: | 65 years and over: 17.7% (male 74,803/female 152,307) (2011 est.) |
| Median age: | total: 40.5 years |
| Median age: | male: 37 years |
| Median age: | female: 43.9 years (2011 est.) |
| Population growth rate: | -0.641% (2011 est.) |
| Birth rate: | 10.45 births/1,000 population (2011 est.) |
| Death rate: | 13.55 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.31 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 69% of total population (2010) |
| Urbanization: | rate of urbanization: 0.1% annual rate of change (2010-15 est.) |
| Major cities - population: | TALLINN (capital) 399,000 (2009) |
| Sex ratio: | at birth: 1.063 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.49 male(s)/female |
| Sex ratio: | total population: 0.84 male(s)/female (2011 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 7.06 deaths/1,000 live births |
| Infant mortality rate: | male: 8.21 deaths/1,000 live births |
| Infant mortality rate: | female: 5.85 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 73.33 years |
| Life expectancy at birth: | male: 68.02 years |
| Life expectancy at birth: | female: 78.97 years (2011 est.) |
| Total fertility rate: | 1.44 children born/woman (2011 est.) |
| Health expenditures: | 4.3% of GDP (2009) |
| Physicians density: | 3.409 physicians/1,000 population (2008) |
| Hospital bed density: | 5.71 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 5% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis (2009) |
| Obesity - adult prevalence rate: | 14.4% (2004) |
| Education expenditures: | 4.9% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2008) |
| Unemployment, youth ages 15-24: | total: 27.3% |
| Unemployment, youth ages 15-24: | male: 31.8% |
| Unemployment, youth ages 15-24: | female: 21.2% (2009) |
