| People and Society | ESTONIA |
| --- | --- |
| Nationality: | noun: Estonian(s) |
| Nationality: | adjective: Estonian |
| Ethnic groups: | Estonian 68.7%, Russian 24.8%, Ukrainian 1.7%, Belarusian 1%, Finn 0.6%, other 1.6%, unspecified 1.6% (2011 est.) |
| Languages: | Estonian (official) 68.5%, Russian 29.6%, Ukrainian 0.6%, other 1.2%, unspecified 0.1% (2011 est.) |
| Religions: | Lutheran 9.9%, Orthodox 16.2%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 2.2%, other 0.9%, none 54.1%, unspecified 16.7% (2011 est.) |
| Population: | 1,265,420 (July 2015 est.) |
| Age structure: | 0-14 years: 15.99% (male 103,855/female 98,478) |
| Age structure: | 15-24 years: 9.74% (male 63,840/female 59,425) |
| Age structure: | 25-54 years: 41.83% (male 265,496/female 263,873) |
| Age structure: | 55-64 years: 13.32% (male 75,279/female 93,264) |
| Age structure: | 65 years and over: 19.12% (male 81,525/female 160,385) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.5% |
| population pyramid: | youth dependency ratio: 24.7% |
| population pyramid: | elderly dependency ratio: 28.8% |
| population pyramid: | potential support ratio: 3.5% (2015 est.) |
| Median age: | total: 41.2 years |
| Median age: | male: 37.6 years |
| Median age: | female: 44.5 years (2014 est.) |
| Population growth rate: | -0.55% (2015 est.) |
| Birth rate: | 10.51 births/1,000 population (2015 est.) |
| Death rate: | 12.4 deaths/1,000 population (2015 est.) |
| Net migration rate: | -3.6 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 67.5% of total population (2015) |
| Urbanization: | rate of urbanization: -0.45% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TALLINN (capital) 391,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.51 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 3.85 deaths/1,000 live births |
| Infant mortality rate: | male: 3.73 deaths/1,000 live births |
| Infant mortality rate: | female: 3.98 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.47 years |
| Life expectancy at birth: | male: 71.64 years |
| Life expectancy at birth: | female: 81.53 years (2015 est.) |
| Total fertility rate: | 1.59 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 63.4% |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 (2004/05) |
| Health expenditures: | 5.7% of GDP (2013) |
| Physicians density: | 3.24 physicians/1,000 population (2012) |
| Hospital bed density: | 5.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99.6% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 96.6% of population |
| Sanitation facility access: | total: 97.2% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 3.4% of population |
| unimproved: | total: 2.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,600 (2013 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis (2013) |
| Obesity - adult prevalence rate: | 24.5% (2014) |
| Education expenditures: | 5.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2012) |
| Unemployment, youth ages 15-24: | total: 20.9% |
| Unemployment, youth ages 15-24: | male: 23.4% |
| Unemployment, youth ages 15-24: | female: 17.9% (2012 est.) |
