| People and Society | French Polynesia |
| --- | --- |
| Population: | 295,121 (July 2020 est.) |
| Nationality: | noun: French Polynesian(s) |
| Nationality: | adjective: French Polynesian |
| Ethnic groups: | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
| Languages: | French (official) 70%, Polynesian (official) 28.2%, other 1.8% (2012 est.) |
| Religions: | Protestant 54%, Roman Catholic 30%, other 10%, no religion 6% |
| Age structure: | 0-14 years: 21.69% (male 32,920/female 31,100) |
| Age structure: | 15-24 years: 14.72% (male 22,640/female 20,793) |
| Age structure: | 25-54 years: 44.24% (male 66,921/female 63,636) |
| Age structure: | 55-64 years: 10.31% (male 15,610/female 14,823) |
| Age structure: | 65 years and over: 9.04% (male 12,854/female 13,824) (2020 est.) |
| Dependency ratios: | total dependency ratio: 45.5 |
| Dependency ratios: | youth dependency ratio: 32.3 |
| Dependency ratios: | elderly dependency ratio: 13.2 |
| Dependency ratios: | potential support ratio: 7.6 (2020 est.) |
| Median age: | total: 33.3 years |
| Median age: | male: 33 years |
| Median age: | female: 33.5 years (2020 est.) |
| Population growth rate: | 0.79% (2020 est.) |
| Birth rate: | 14 births/1,000 population (2020 est.) |
| Death rate: | 5.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the majority of the population lives in the Society Islands, one of five archipelagos that includes the most populous island - Tahiti - with approximately 70% of the nation's population |
| Urbanization: | urban population: 62% of total population (2020) |
| Urbanization: | rate of urbanization: 1.01% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 136,000 PAPEETE (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 4.5 deaths/1,000 live births |
| Infant mortality rate: | male: 5 deaths/1,000 live births |
| Infant mortality rate: | female: 4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77.9 years |
| Life expectancy at birth: | male: 75.6 years |
| Life expectancy at birth: | female: 80.4 years (2020 est.) |
| Total fertility rate: | 1.83 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Physicians density: | 2.13 physicians/1,000 population (2009) |
| Sanitation facility access: | improved: total: 96.9% of population |
| Sanitation facility access: | unimproved: total: 3.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: malaria |
| Unemployment, youth ages 15-24: | total: 56.7% |
| Unemployment, youth ages 15-24: | male: 54.5% |
| Unemployment, youth ages 15-24: | female: 59.7% (2012 est.) |
