| People and Society | Montenegro |
| --- | --- |
| Nationality: | noun: Montenegrin(s) |
| Nationality: | adjective: Montenegrin |
| Ethnic groups: | Montenegrin 43%, Serbian 32%, Bosniak 8%, Albanian 5%, other (Muslims, Croats, Roma (Gypsy)) 12% (2003 census) |
| Languages: | Serbian 63.6%, Montenegrin (official) 22%, Bosnian 5.5%, Albanian 5.3%, unspecified (includes Croatian) 3.7% (2003 census) |
| Religions: | Orthodox 74.2%, Muslim 17.7%, Catholic 3.5%, other 0.6%, unspecified 3%, atheist 1% (2003 census) |
| Population: | 653,474 (July 2013 est.) |
| Age structure: | 0-14 years: 15.3% (male 48,670/female 51,379) |
| Age structure: | 15-24 years: 11.4% (male 35,750/female 38,516) |
| Age structure: | 25-54 years: 47% (male 164,913/female 142,372) |
| Age structure: | 55-64 years: 12.6% (male 40,618/female 41,398) |
| Age structure: | 65 years and over: 13.8% (male 35,573/female 54,285) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.7 % |
| population pyramid: | youth dependency ratio: 27.5 % |
| population pyramid: | elderly dependency ratio: 19.2 % |
| population pyramid: | potential support ratio: 5.2 (2013) |
| Median age: | total: 38.7 years |
| Median age: | male: 37.6 years |
| Median age: | female: 40.1 years (2013 est.) |
| Population growth rate: | -0.56% (2013 est.) |
| Birth rate: | 10.75 births/1,000 population (2013 est.) |
| Death rate: | 9.17 deaths/1,000 population (2013 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 0.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PODGORICA (capital) 144,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 0.95 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 1.15 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 26.3 (2009 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Contraceptive prevalence rate: | 39.4% (2005/06) |
| Health expenditures: | 9.3% of GDP (2011) |
| Physicians density: | 2.03 physicians/1,000 population (2010) |
| Hospital bed density: | 4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 96% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92% of population |
| Sanitation facility access: | rural: 87% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 10% of population (2010 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: Crimean-Congo hemorrhagic fever (2013) |
| Obesity - adult prevalence rate: | 22.5% (2008) |
| Children under the age of 5 years underweight: | 2.2% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.5% |
| Literacy: | male: 99.4% |
| Literacy: | female: 97.6% (2011 est.) |
| Child labor - children ages 5-14: | total number: 8,520 |
| Child labor - children ages 5-14: | percentage: 10 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 37% |
| Unemployment, youth ages 15-24: | male: 35.5% |
| Unemployment, youth ages 15-24: | female: 40% (2011) |
