| People and Society | Montenegro |
| --- | --- |
| Population: | 609,859 (July 2020 est.) |
| Nationality: | noun: Montenegrin(s) |
| Nationality: | adjective: Montenegrin |
| Ethnic groups: | Montenegrin 45%, Serbian 28.7%, Bosniak 8.7%, Albanian 4.9%, Muslim 3.3%, Romani 1%, Croat 1%, other 2.6%, unspecified 4.9% (2011 est.) |
| Languages: | Serbian 42.9%, Montenegrin (official) 37%, Bosnian 5.3%, Albanian 5.3%, Serbo-Croat 2%, other 3.5%, unspecified 4% (2011 est.) |
| Religions: | Orthodox 72.1%, Muslim 19.1%, Catholic 3.4%, atheist 1.2%, other 1.5%, unspecified 2.6% (2011 est.) |
| Age structure: | 0-14 years: 18.14% (male 57,402/female 53,217) |
| Age structure: | 15-24 years: 12.78% (male 40,220/female 37,720) |
| Age structure: | 25-54 years: 39.65% (male 120,374/female 121,461) |
| Age structure: | 55-64 years: 13.41% (male 40,099/female 41,670) |
| Age structure: | 65 years and over: 16.02% (male 42,345/female 55,351) (2020 est.) |
| Dependency ratios: | total dependency ratio: 51.1 |
| Dependency ratios: | youth dependency ratio: 27.3 |
| Dependency ratios: | elderly dependency ratio: 23.8 |
| Dependency ratios: | potential support ratio: 4.2 (2020 est.) |
| Median age: | total: 39.6 years |
| Median age: | male: 38.1 years |
| Median age: | female: 41.1 years (2020 est.) |
| Population growth rate: | -0.37% (2020 est.) |
| Birth rate: | 11.5 births/1,000 population (2020 est.) |
| Death rate: | 10.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -4.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | highest population density is concentrated in the south, southwest; the extreme eastern border is the least populated area |
| Urbanization: | urban population: 67.5% of total population (2020) |
| Urbanization: | rate of urbanization: 0.54% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 177,000 PODGORICA (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 26.3 years (2010 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births |
| Infant mortality rate: | male: 2.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77.3 years |
| Life expectancy at birth: | male: 74.8 years |
| Life expectancy at birth: | female: 79.8 years (2020 est.) |
| Total fertility rate: | 1.82 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 20.7% (2018) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.8% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0.2% of population (2017 est.) |
| Current Health Expenditure: | 7.6% (2016) |
| Physicians density: | 2.38 physicians/1,000 population (2015) |
| Hospital bed density: | 3.9 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 93.9% of population |
| Sanitation facility access: | total: 97.8% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 6.1% of population |
| Sanitation facility access: | total: 2.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: Crimean-Congo hemorrhagic fever |
| Obesity - adult prevalence rate: | 23.3% (2016) |
| Children under the age of 5 years underweight: | 1% (2013) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.3% (2018) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2019) |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 33.3% |
| Unemployment, youth ages 15-24: | female: 23.6% (2018 est.) |
