| People and Society | Zimbabwe |
| --- | --- |
| Population: | 14,030,368 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Zimbabwean(s) |
| Nationality: | adjective: Zimbabwean |
| Ethnic groups: | African 99.4% (predominantly Shona; Ndebele is the second largest ethnic group), other 0.4%, unspecified 0.2% (2012 est.) |
| Languages: | Shona (official; most widely spoken), Ndebele (official, second most widely spoken), English (official; traditionally used for official business), 13 minority languages (official; includes Chewa, Chibarwe, Kalanga, Koisan, Nambya, Ndau, Shangani, sign language, Sotho, Tonga, Tswana, Venda, and Xhosa) |
| Religions: | Protestant 74.8% (includes Apostolic 37.5%, Pentecostal 21.8%, other 15.5%), Roman Catholic 7.3%, other Christian 5.3%, traditional 1.5%, Muslim 0.5%, other 0.1%, none 10.5% (2015 est.) |
| Demographic profile: | Zimbabweâ€™s progress in reproductive, maternal, and child health has stagnated in recent years. According to a 2010 Demographic and Health Survey, contraceptive use, the number of births attended by skilled practitioners, and child mortality have either stalled or somewhat deteriorated since the mid-2000s. Zimbabweâ€™s total fertility rate has remained fairly stable at about 4 children per woman for the last two decades, although an uptick in the urban birth rate in recent years has caused a slight rise in the countryâ€™s overall fertility rate. Zimbabweâ€™s HIV prevalence rate dropped from approximately 29% to 15% since 1997 but remains among the worldâ€™s highest and continues to suppress the countryâ€™s life expectancy rate. The proliferation of HIV/AIDS information and prevention programs and personal experience with those suffering or dying from the disease have helped to change sexual behavior and reduce the epidemic. |
| Demographic profile: | Historically, the vast majority of Zimbabweâ€™s migration has been internal â€“ a rural-urban flow. In terms of international migration, over the last 40 years Zimbabwe has gradually shifted from being a destination country to one of emigration and, to a lesser degree, one of transit (for East African illegal migrants traveling to South Africa). As a British colony, Zimbabwe attracted significant numbers of permanent immigrants from the UK and other European countries, as well as temporary economic migrants from Malawi, Mozambique, and Zambia. Although Zimbabweans have migrated to South Africa since the beginning of the 20th century to work as miners, the first major exodus from the country occurred in the years before and after independence in 1980. The outward migration was politically and racially influenced; a large share of the white population of European origin chose to leave rather than live under a new black-majority government. |
| Demographic profile: | In the 1990s and 2000s, economic mismanagement and hyperinflation sparked a second, more diverse wave of emigration. This massive out migration â€“ primarily to other southern African countries, the UK, and the US â€“ has created a variety of challenges, including brain drain, illegal migration, and human smuggling and trafficking. Several factors have pushed highly skilled workers to go abroad, including unemployment, lower wages, a lack of resources, and few opportunities for career growth. |
| Age structure: | 0-14 years: 38.62% (male 2,681,192 /female 2,736,876) |
| Age structure: | 15-24 years: 20.42% (male 1,403,715 /female 1,461,168) |
| Age structure: | 25-54 years: 32.22% (male 2,286,915 /female 2,234,158) |
| Age structure: | 55-64 years: 4.24% (male 233,021 /female 361,759) |
| Age structure: | 65 years and over: 4.5% (male 255,704 /female 375,860) (2018 est.) |
| Dependency ratios: | total dependency ratio: 79.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 74.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.7 (2015 est.) |
| Median age: | total: 20.2 years (2018 est.) |
| Median age: | male: 19.9 years |
| Median age: | female: 20.4 years |
| Population growth rate: | 1.68% (2018 est.) |
| Birth rate: | 34 births/1,000 population (2018 est.) |
| Death rate: | 9.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -7.3 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | Aside from major urban agglomerations in Harare and Bulawayo, population distribution is fairly even, with slightly greater overall numbers in the eastern half |
| Urbanization: | urban population: 32.2% of total population (2019) |
| Urbanization: | rate of urbanization: 2.19% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.521 million HARARE (capital) (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.98 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.64 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 20 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 458 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 31.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 35.9 deaths/1,000 live births |
| Infant mortality rate: | female: 27.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 61.1 years (2018 est.) |
| Life expectancy at birth: | male: 59 years |
| Life expectancy at birth: | female: 63.2 years |
| Total fertility rate: | 3.97 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 66.8% (2015) |
| Drinking water source: | improved: urban: 97% of population |
| Drinking water source: | rural: 67.3% of population |
| Drinking water source: | total: 76.9% of population |
| Drinking water source: | unimproved: urban: 3% of population |
| Drinking water source: | rural: 32.7% of population |
| Drinking water source: | total: 23.1% of population (2015 est.) |
| Current Health Expenditure: | 9.4% (2016) |
| Physicians density: | 0.08 physicians/1,000 population (2014) |
| Hospital bed density: | 1.7 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 49.3% of population (2015 est.) |
| Sanitation facility access: | rural: 30.8% of population (2015 est.) |
| Sanitation facility access: | total: 36.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 50.7% of population (2015 est.) |
| Sanitation facility access: | rural: 69.2% of population (2015 est.) |
| Sanitation facility access: | total: 63.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.7% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.3 million (2018 est.) |
| HIV/AIDS - deaths: | 22,000 (2018 est.) |
