| People | Zimbabwe |
| --- | --- |
| Population: | 12,746,990 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 39.2% (male 2,522,609/female 2,474,131) |
| Age structure: | 15-64 years: 57.1% (male 3,686,354/female 3,592,662) |
| Age structure: | 65 years and over: 3.7% (male 235,478/female 235,756) (2005 est.) |
| Median age: | total: 19.26 years |
| Median age: | male: 19.28 years |
| Median age: | female: 19.24 years (2005 est.) |
| Population growth rate: | 0.51% (2005 est.) |
| Birth rate: | 29.74 births/1,000 population (2005 est.) |
| Death rate: | 24.66 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population negligible migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 67.69 deaths/1,000 live births |
| Infant mortality rate: | male: 70.32 deaths/1,000 live births |
| Infant mortality rate: | female: 64.98 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 39.13 years |
| Life expectancy at birth: | male: 40.2 years |
| Life expectancy at birth: | female: 38.03 years (2005 est.) |
| Total fertility rate: | 3.54 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 24.6% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.8 million (2001 est.) |
| HIV/AIDS - deaths: | 170,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Zimbabwean(s) |
| Nationality: | adjective: Zimbabwean |
| Ethnic groups: | African 98% (Shona 82%, Ndebele 14%, other 2%), mixed and Asian 1%, white less than 1% |
| Religions: | syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1% |
| Languages: | English (official), Shona, Sindebele (the language of the Ndebele, sometimes called Ndebele), numerous but minor tribal dialects |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 90.7% |
| Literacy: | male: 94.2% |
| Literacy: | female: 87.2% (2003 est.) |
