| People and Society | Zimbabwe |
| --- | --- |
| Nationality: | noun: Zimbabwean(s) |
| Nationality: | adjective: Zimbabwean |
| Ethnic groups: | African 98% (Shona 82%, Ndebele 14%, other 2%), mixed and Asian 1%, white less than 1% |
| Languages: | English (official), Shona, Sindebele (the language of the Ndebele, sometimes called Ndebele), numerous but minor tribal dialects |
| Religions: | syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1% |
| Population: | 12,619,600 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 40.6% (male 2,585,086/ female 2,532,927) |
| Age structure: | 15-64 years: 55.7% (male 3,374,546/ female 3,659,339) |
| Age structure: | 65 years and over: 3.7% (male 193,148/ female 274,554) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.9 years |
| Median age: | male: 18.2 years |
| Median age: | female: 19.6 years (2012 est.) |
| Population growth rate: | 4.357% (2012 est.) |
| Birth rate: | 32.19 births/1,000 population (2012 est.) |
| Death rate: | 12.38 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 23.77 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2012 est.) |
| Urbanization: | urban population: 38% of total population (2010) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major cities - population: | HARARE (capital) 1.606 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2011 est.) |
| Maternal mortality rate: | 570 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 28.23 deaths/1,000 live births |
| Infant mortality rate: | male: 30.67 deaths/1,000 live births |
| Infant mortality rate: | female: 25.73 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 51.82 years |
| Life expectancy at birth: | male: 51.95 years |
| Life expectancy at birth: | female: 51.68 years (2012 est.) |
| Total fertility rate: | 3.61 children born/woman (2012 est.) |
| Physicians density: | 0.16 physicians/1,000 population (2004) |
| Hospital bed density: | 3 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 56% of population |
| Sanitation facility access: | rural: 37% of population |
| Sanitation facility access: | total: 44% of population |
| unimproved: | urban: 44% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 56% of population |
| HIV/AIDS - adult prevalence rate: | 14.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.2 million (2009 est.) |
| HIV/AIDS - deaths: | 83,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Obesity - adult prevalence rate: | 15.7% (2005) |
| Children under the age of 5 years underweight: | 14% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 90.7% |
| Literacy: | male: 94.2% |
| Literacy: | female: 87.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2003) |
| Unemployment, youth ages 15-24: | total: 24.9% |
| Unemployment, youth ages 15-24: | male: 28.2% |
| Unemployment, youth ages 15-24: | female: 21.4% (2002) |
