| People and Society | VENEZUELA |
| --- | --- |
| Population: | 30,912,302 (July 2016 est.) |
| Nationality: | noun: Venezuelan(s) |
| Nationality: | adjective: Venezuelan |
| Ethnic groups: | Spanish, Italian, Portuguese, Arab, German, African, indigenous people |
| Languages: | Spanish (official), numerous indigenous dialects |
| Religions: | nominally Roman Catholic 96%, Protestant 2%, other 2% |
| Demographic profile: | Social investment in Venezuela during the CHAVEZ administration reduced poverty from nearly 50% in 1999 to about 27% in 2011, increased school enrollment, substantially decreased infant and child mortality, and improved access to potable water and sanitation through social investment. "Missions" dedicated to education, nutrition, healthcare, and sanitation were funded through petroleum revenues. The sustainability of this progress remains questionable, however, as the continuation of these social programs depends on the prosperity of Venezuela's oil industry. In the long-term, education and health care spending may increase economic growth and reduce income inequality, but rising costs and the staffing of new health care jobs with foreigners are slowing development. |
| Demographic profile: | While CHAVEZ was in power, more than one million predominantly middle- and upper-class Venezuelans are estimated to have emigrated. The brain drain is attributed to a repressive political system, lack of economic opportunities, steep inflation, a high crime rate, and corruption. Thousands of oil engineers emigrated to Canada, Colombia, and the United States following CHAVEZ's firing of over 20,000 employees of the state-owned petroleum company during a 2002-03 oil strike. Additionally, thousands of Venezuelans of European descent have taken up residence in their ancestral homelands. Nevertheless, Venezuela has attracted hundreds of thousands of immigrants from South America and southern Europe because of its lenient migration policy and the availability of education and health care. Venezuela also has been a fairly accommodating host to more than 200,000 Colombian refugees. However, since 2014, falling oil prices have driven a major economic crisis that has pushed Venezuelans from all walks of life to migrate or to seek asylum abroad to escape severe shortages of food, water, and medicine; soaring inflation; unemployment; and violence. Tens of thousands of Venezuelans have migrated, often illegally, to Colombia, Brazil, Mexico, Panama, Chile, Guyana, the Dominican Republic, or taken perilous journeys by raft to Aruba and Curacao. Asylum applications have increased significantly in the US and Brazil in 2016. Although several receiving countries are making efforts to increase immigration restriction and to deport illegal Venezuelan migrants, Venezuelans continue to migrate to avoid economic collapse at home. |
| Age structure: | 0-14 years: 27.68% (male 4,385,415/female 4,170,160) |
| Age structure: | 15-24 years: 17.27% (male 2,709,359/female 2,629,097) |
| Age structure: | 25-54 years: 40.4% (male 6,182,604/female 6,304,876) |
| Age structure: | 55-64 years: 7.84% (male 1,162,400/female 1,260,451) |
| Age structure: | 65 years and over: 6.82% (male 952,627/female 1,155,313) (2016 est.) |
| Dependency ratios: | total dependency ratio: 52.4% |
| Dependency ratios: | youth dependency ratio: 42.8% |
| Dependency ratios: | elderly dependency ratio: 9.5% |
| Dependency ratios: | potential support ratio: 10.5% (2015 est.) |
| Median age: | total: 28 years |
| Median age: | male: 27.3 years |
| Median age: | female: 28.7 years (2016 est.) |
| Population growth rate: | 1.28% (2016 est.) |
| Birth rate: | 19.2 births/1,000 population (2016 est.) |
| Death rate: | 5.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population is concentrated in the northern and western highlands along an eastern spur at the northern end of the Andes, an area that includes the capital of Caracas |
| Urbanization: | urban population: 89% of total population (2015) |
