| People and Society | Switzerland |
| --- | --- |
| Nationality: | noun: Swiss (singular and plural) |
| Nationality: | adjective: Swiss |
| Ethnic groups: | German 65%, French 18%, Italian 10%, Romansch 1%, other 6% |
| Languages: | German (official) 63.7%, French (official) 20.4%, Italian (official) 6.5%, Serbo-Croatian 1.5%, Albanian 1.3%, Portuguese 1.2%, Spanish 1.1%, English 1%, Romansch (official) 0.5%, other 2.8% (2000 census) |
| Languages: | note: German, French, Italian, and Romansch are all national and official languages |
| Religions: | Roman Catholic 41.8%, Protestant 35.3%, Muslim 4.3%, Orthodox 1.8%, other Christian 0.4%, other 1%, unspecified 4.3%, none 11.1% (2000 census) |
| Population: | 7,996,026 (July 2013 est.) |
| Age structure: | 0-14 years: 15.2% (male 624,601/female 588,725) |
| Age structure: | 15-24 years: 11.6% (male 471,401/female 453,568) |
| Age structure: | 25-54 years: 44% (male 1,766,228/female 1,749,672) |
| Age structure: | 55-64 years: 12% (male 476,495/female 479,642) |
| Age structure: | 65 years and over: 17.3% (male 600,754/female 784,940) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.1 % |
| population pyramid: | youth dependency ratio: 21.9 % |
| population pyramid: | elderly dependency ratio: 26.2 % |
| population pyramid: | potential support ratio: 3.8 (2013) |
| Median age: | total: 41.8 years |
| Median age: | male: 40.8 years |
| Median age: | female: 42.7 years (2013 est.) |
| Population growth rate: | 0.85% (2013 est.) |
| Birth rate: | 10.45 births/1,000 population (2013 est.) |
| Death rate: | 8.08 deaths/1,000 population (2013 est.) |
| Net migration rate: | 6.14 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 74% of total population (2010) |
| Urbanization: | rate of urbanization: 0.5% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Zurich 1.143 million; BERN (capital) 346,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 30.2 (2010 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.8 deaths/1,000 live births |
| Infant mortality rate: | male: 4.21 deaths/1,000 live births |
| Infant mortality rate: | female: 3.36 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 82.28 years |
| Life expectancy at birth: | male: 79.99 years |
| Life expectancy at birth: | female: 84.71 years (2013 est.) |
| Total fertility rate: | 1.53 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 82% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (1994/95) |
| Health expenditures: | 10.9% of GDP (2011) |
| Physicians density: | 4.08 physicians/1,000 population (2010) |
| Hospital bed density: | 5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 18,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 17.5% (2008) |
| Education expenditures: | 5.4% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Unemployment, youth ages 15-24: | total: 7.7% |
| Unemployment, youth ages 15-24: | male: 7.6% |
| Unemployment, youth ages 15-24: | female: 7.9% (2011) |
