| People and Society | MACAU |
| --- | --- |
| Population: | 601,969 (July 2017 est.) |
| Population: | note: Macau's statistical agency estimated the total population to be approximately 644,900 as of 31 December 2016 |
| Nationality: | noun: Chinese |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Chinese 92.4%, Portuguese 0.6%, mixed 1.1%, other 5.9% (includes Macanese - mixed Portuguese and Asian ancestry) (2011 est.) |
| Languages: | Cantonese 83.3%, Mandarin 5%, Hokkien 3.7%, English 2.3%, other Chinese dialects 2%, Tagalog 1.7%, Portuguese 0.7%, other 1.3% |
| Languages: | note: Chinese and Portuguese are official languages (2011 est.) |
| Religions: | Buddhist 50%, Roman Catholic 15%, none or other 35% (1997 est.) |
| Age structure: | 0-14 years: 14.1% (male 44,133/female 40,764) |
| Age structure: | 15-24 years: 11.73% (male 37,194/female 33,418) |
| Age structure: | 25-54 years: 50.1% (male 134,244/female 167,318) |
| Age structure: | 55-64 years: 13.5% (male 40,837/female 40,423) |
| Age structure: | 65 years and over: 10.57% (male 29,764/female 33,874) (2017 est.) |
| Dependency ratios: | total dependency ratio: 26.6 |
| Dependency ratios: | youth dependency ratio: 15.7 |
| Dependency ratios: | elderly dependency ratio: 10.9 |
| Dependency ratios: | potential support ratio: 9.2 (2015 est.) |
| Median age: | total: 39.3 years |
| Median age: | male: 39.5 years |
| Median age: | female: 39.1 years (2017 est.) |
| Population growth rate: | 0.74% (2017 est.) |
| Birth rate: | 8.6 births/1,000 population (2017 est.) |
| Death rate: | 4.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | 3.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population fairly equally distributed |
| Urbanization: | urban population: 100% of total population (2017) |
| Urbanization: | rate of urbanization: 1.39% annual rate of change (2015-20 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 0.8 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 3.1 deaths/1,000 live births |
| Infant mortality rate: | male: 3.3 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 84.6 years |
| Life expectancy at birth: | male: 81.6 years |
| Life expectancy at birth: | female: 87.7 years (2017 est.) |
| Total fertility rate: | 0.95 children born/woman (2017 est.) |
| Physicians density: | 3.11 physicians/1,000 population (2010) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.5% |
| Literacy: | male: 98.2% |
| Literacy: | female: 95% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 4.5% |
| Unemployment, youth ages 15-24: | male: 5.7% |
| Unemployment, youth ages 15-24: | female: 3.8% (2015 est.) |
