| People and Society | Macau |
| --- | --- |
| Nationality: | noun: Chinese |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Chinese 92.4%, other 7.6% (includes Macanese - mixed Portuguese and Asian ancestry) (2011 census) |
| Languages: | Cantonese 83.3%, Mandarin 5%, Hokkien 3.7%, other Chinese dialects 2%, English 2.3%, Tagalog 1.7%, Portuguese 0.7%, other 1.3% |
| Languages: | note: Chinese and Portuguese are the official language (2011 census) |
| Religions: | Buddhist 50%, Roman Catholic 15%, none or other 35% (1997 est.) |
| Population: | 583,003 (July 2013 est.) |
| Age structure: | 0-14 years: 14.5% (male 44,454/female 40,089) |
| Age structure: | 15-24 years: 14.5% (male 43,670/female 41,018) |
| Age structure: | 25-54 years: 51% (male 133,043/female 164,369) |
| Age structure: | 55-64 years: 11.1% (male 32,782/female 32,185) |
| Age structure: | 65 years and over: 8.8% (male 24,091/female 27,302) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 25.8 % |
| population pyramid: | youth dependency ratio: 15.6 % |
| population pyramid: | elderly dependency ratio: 10.2 % |
| population pyramid: | potential support ratio: 9.8 (2013) |
| Median age: | total: 37.2 years |
| Median age: | male: 37.9 years |
| Median age: | female: 36.7 years (2013 est.) |
| Population growth rate: | 0.85% (2013 est.) |
| Birth rate: | 9.03 births/1,000 population (2013 est.) |
| Death rate: | 3.97 deaths/1,000 population (2013 est.) |
| Net migration rate: | 3.43 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 100% of total population (2011) |
| Urbanization: | rate of urbanization: 2.01% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.82 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 3.15 deaths/1,000 live births |
| Infant mortality rate: | male: 3.31 deaths/1,000 live births |
| Infant mortality rate: | female: 2.99 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 84.46 years |
| Life expectancy at birth: | male: 81.5 years |
| Life expectancy at birth: | female: 87.56 years (2013 est.) |
| Total fertility rate: | 0.93 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.6% |
| Literacy: | male: 97.8% |
| Literacy: | female: 93.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 5.8% |
| Unemployment, youth ages 15-24: | male: 7% |
| Unemployment, youth ages 15-24: | female: 4.7% (2011) |
