| People and Society | KYRGYZSTAN |
| --- | --- |
| Nationality: | noun: Kyrgyzstani(s) |
| Nationality: | adjective: Kyrgyzstani |
| Ethnic groups: | Kyrgyz 70.9%, Uzbek 14.3%, Russian 7.7%, Dungan 1.1%, other 5.9% (includes Uyghur, Tajik, Turk, Kazakh, Tatar, Ukrainian, Korean, German) (2009 est.) |
| Languages: | Kyrgyz (official) 71.4%, Uzbek 14.4%, Russian (official) 9%, other 5.2% (2009 est.) |
| Religions: | Muslim 75%, Russian Orthodox 20%, other 5% |
| Population: | 5,664,939 (July 2015 est.) |
| Age structure: | 0-14 years: 29.92% (male 867,668/female 827,235) |
| Age structure: | 15-24 years: 18.18% (male 523,347/female 506,453) |
| Age structure: | 25-54 years: 39.55% (male 1,096,430/female 1,144,265) |
| Age structure: | 55-64 years: 7.34% (male 180,874/female 234,733) |
| Age structure: | 65 years and over: 5.01% (male 108,776/female 175,158) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55.3% |
| population pyramid: | youth dependency ratio: 48.8% |
| population pyramid: | elderly dependency ratio: 6.6% |
| population pyramid: | potential support ratio: 15.2% (2015 est.) |
| Median age: | total: 26 years |
| Median age: | male: 25 years |
| Median age: | female: 27 years (2015 est.) |
| Population growth rate: | 1.11% (2015 est.) |
| Birth rate: | 22.98 births/1,000 population (2015 est.) |
| Death rate: | 6.65 deaths/1,000 population (2015 est.) |
| Net migration rate: | -5.22 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 35.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.58% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISHKEK (capital) 865,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.77 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 27.73 deaths/1,000 live births |
| Infant mortality rate: | male: 31.94 deaths/1,000 live births |
| Infant mortality rate: | female: 23.24 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 70.36 years |
| Life expectancy at birth: | male: 66.19 years |
| Life expectancy at birth: | female: 74.8 years (2015 est.) |
| Total fertility rate: | 2.66 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 36.3% (2012) |
| Health expenditures: | 6.7% of GDP (2013) |
| Physicians density: | 1.97 physicians/1,000 population (2013) |
| Hospital bed density: | 4.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.7% of population |
| Drinking water source: | rural: 86.2% of population |
| Drinking water source: | total: 90% of population |
| unimproved: | urban: 3.3% of population |
| unimproved: | rural: 13.8% of population |
| unimproved: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.1% of population |
| Sanitation facility access: | rural: 95.6% of population |
| Sanitation facility access: | total: 93.3% of population |
| unimproved: | urban: 10.9% of population |
| unimproved: | rural: 4.4% of population |
| unimproved: | total: 6.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.26% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,300 (2014 est.) |
| HIV/AIDS - deaths: | 400 (2014 est.) |
| Obesity - adult prevalence rate: | 13.3% (2014) |
| Children under the age of 5 years underweight: | 2.8% (2014) |
| Education expenditures: | 6.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.5% |
| Literacy: | male: 99.6% |
| Literacy: | female: 99.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2011) |
| Child labor - children ages 5-14: | total number: 563,920 |
| Child labor - children ages 5-14: | percentage: 40.3% |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 14.6% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 16.2% (2006 est.) |
