| People and Society | Kyrgyzstan |
| --- | --- |
| Population: | 5,849,296 (July 2018 est.) |
| Nationality: | noun: Kyrgyzstani(s) |
| Nationality: | adjective: Kyrgyzstani |
| Ethnic groups: | Kyrgyz 73.2%, Uzbek 14.6%, Russian 5.8%, Dungan 1.1%, other 5.3% (includes Uyghur, Tajik, Turk, Kazakh, Tatar, Ukrainian, Korean, German) (2017 est.) |
| Languages: | Kyrgyz (official) 71.4%, Uzbek 14.4%, Russian (official) 9%, other 5.2% (2009 est.) |
| Religions: | Muslim 75%, Russian Orthodox 20%, other 5% |
| Age structure: | 0-14 years: 30.4% (male 912,455 /female 865,910) |
| Age structure: | 15-24 years: 16.28% (male 483,799 /female 468,653) |
| Age structure: | 25-54 years: 39.94% (male 1,146,221 /female 1,189,763) |
| Age structure: | 55-64 years: 7.95% (male 202,754 /female 262,412) |
| Age structure: | 65 years and over: 5.43% (male 121,221 /female 196,108) (2018 est.) |
| Dependency ratios: | total dependency ratio: 54.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 48.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 15.1 (2015 est.) |
| Median age: | total: 26.8 years |
| Median age: | male: 25.7 years |
| Median age: | female: 27.9 years (2018 est.) |
| Population growth rate: | 1.02% (2018 est.) |
| Birth rate: | 21.6 births/1,000 population (2018 est.) |
| Death rate: | 6.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -5.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of Kyrgyzstanis live in rural areas; densest population settlement is to the north in and around the capital, Bishkek, followed by Osh in the west; the least densely populated area is the east, southeast in the Tien Shan mountains |
| Urbanization: | urban population: 36.4% of total population (2018) |
| Urbanization: | rate of urbanization: 2.03% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 996,000 BISHKEK (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.96 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.77 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.62 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.96 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 23.2 years (2014 est.) |
| Maternal mortality rate: | 76 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 25 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 29 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 20.7 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 71.2 years (2018 est.) |
| Life expectancy at birth: | male: 67.1 years (2018 est.) |
| Life expectancy at birth: | female: 75.6 years (2018 est.) |
| Total fertility rate: | 2.59 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 42% (2014) |
| Health expenditures: | 6.5% of GDP (2014) |
| Physicians density: | 1.85 physicians/1,000 population (2014) |
| Hospital bed density: | 4.5 beds/1,000 population (2013) |
| Drinking water source: | improved: urban: 96.7% of population |
| Drinking water source: | rural: 86.2% of population |
| Drinking water source: | total: 90% of population |
| Drinking water source: | unimproved: urban: 3.3% of population |
| Drinking water source: | rural: 13.8% of population |
| Drinking water source: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 89.1% of population (2015 est.) |
| Sanitation facility access: | rural: 95.6% of population (2015 est.) |
| Sanitation facility access: | total: 93.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 10.9% of population (2015 est.) |
| Sanitation facility access: | rural: 4.4% of population (2015 est.) |
| Sanitation facility access: | total: 6.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,600 (2017 est.) |
| HIV/AIDS - deaths: | <500 (2017 est.) |
| Obesity - adult prevalence rate: | 16.6% (2016) |
| Children under the age of 5 years underweight: | 2.8% (2014) |
| Education expenditures: | 6% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 99.5% (2015 est.) |
| Literacy: | male: 99.6% (2015 est.) |
| Literacy: | female: 99.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years (2014) |
| School life expectancy (primary to tertiary education): | male: 13 years (2014) |
| School life expectancy (primary to tertiary education): | female: 13 years (2014) |
| Unemployment, youth ages 15-24: | total: 15.5% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 12.7% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 20.6% (2016 est.) |
