| People | Burma |
| --- | --- |
| Population: | 47,758,180 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 25.7% (male 6,236,484/female 6,038,576) |
| Age structure: | 15-64 years: 68.9% (male 16,300,380/female 16,627,045) |
| Age structure: | 65 years and over: 5.4% (male 1,098,344/female 1,457,352) (2008 est.) |
| Median age: | total: 27.8 years |
| Median age: | male: 27.2 years |
| Median age: | female: 28.4 years (2008 est.) |
| Population growth rate: | 0.8% (2008 est.) |
| Birth rate: | 17.23 births/1,000 population (2008 est.) |
| Death rate: | 9.23 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.03 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 49.12 deaths/1,000 live births |
| Infant mortality rate: | male: 55.53 deaths/1,000 live births |
| Infant mortality rate: | female: 42.33 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 62.94 years |
| Life expectancy at birth: | male: 60.73 years |
| Life expectancy at birth: | female: 65.28 years (2008 est.) |
| Total fertility rate: | 1.92 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 330,000 (2003 est.) |
| HIV/AIDS - deaths: | 20,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Religions: | Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, animist 1%, other 2% |
| Languages: | Burmese, minority ethnic groups have their own languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.9% |
| Literacy: | male: 93.9% |
| Literacy: | female: 86.4% (2006 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2001) |
| Education expenditures: | 1.2% of GDP (2001) |
