| People and Society | Burma |
| --- | --- |
| Population: | 56,590,071 (July 2020 est.) |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman (Bamar) 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Ethnic groups: | note: government recognizes 135 indigenous ethnic groups |
| Languages: | Burmese (official) |
| Languages: | note: minority ethnic groups use their own languages |
| Religions: | Buddhist 87.9%, Christian 6.2%, Muslim 4.3%, Animist 0.8%, Hindu 0.5%, other 0.2%, none 0.1% (2014 est.) |
| Religions: | note: religion estimate is based on the 2014 national census, including an estimate for the non-enumerated population of Rakhine State, which is assumed to mainly affiliate with the Islamic faith; as of December 2019, Muslims probably make up less than 3% of Burma's total population due to the large outmigration of the Rohingya population since 2017 |
| Age structure: | 0-14 years: 25.97% (male 7,524,869/female 7,173,333) |
| Age structure: | 15-24 years: 17% (male 4,852,122/female 4,769,412) |
| Age structure: | 25-54 years: 42.76% (male 11,861,971/female 12,337,482) |
| Age structure: | 55-64 years: 8.22% (male 2,179,616/female 2,472,681) |
| Age structure: | 65 years and over: 6.04% (male 1,489,807/female 1,928,778) (2020 est.) |
| Dependency ratios: | total dependency ratio: 46.5 |
| Dependency ratios: | youth dependency ratio: 37.3 |
| Dependency ratios: | elderly dependency ratio: 9.1 |
| Dependency ratios: | potential support ratio: 10.9 (2020 est.) |
| Median age: | total: 29.2 years |
| Median age: | male: 28.3 years |
| Median age: | female: 30 years (2020 est.) |
| Population growth rate: | 0.85% (2020 est.) |
| Birth rate: | 17 births/1,000 population (2020 est.) |
| Death rate: | 7.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated along coastal areas and in general proximity to the shores of the Irrawaddy River; the extreme north is relatively underpopulated |
| Urbanization: | urban population: 31.1% of total population (2020) |
| Urbanization: | rate of urbanization: 1.74% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 5.332 million RANGOON (Yangon) (capital), 1.438 million Mandalay (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 25 years (2015/16 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 250 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 31.7 deaths/1,000 live births |
| Infant mortality rate: | male: 34.4 deaths/1,000 live births |
| Infant mortality rate: | female: 28.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 69.3 years |
| Life expectancy at birth: | male: 67.7 years |
| Life expectancy at birth: | female: 71.1 years (2020 est.) |
| Total fertility rate: | 2.07 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 52.2% (2015/16) |
| Drinking water source: | improved: urban: 93% of population |
| Drinking water source: | rural: 76.9% of population |
| Drinking water source: | total: 81.8% of population |
| Drinking water source: | unimproved: urban: 7% of population |
| Drinking water source: | rural: 23.1% of population |
| Drinking water source: | total: 18.2% of population (2017 est.) |
| Current Health Expenditure: | 4.7% (2017) |
| Physicians density: | 0.86 physicians/1,000 population (2017) |
| Hospital bed density: | 1 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 87.6% of population |
| Sanitation facility access: | rural: 67.6% of population |
| Sanitation facility access: | total: 73.7% of population |
| Sanitation facility access: | unimproved: urban: 12.4% of population |
| Sanitation facility access: | rural: 32.4% of population |
| Sanitation facility access: | total: 26.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2019 est.) |
| HIV/AIDS - deaths: | 7,700 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 5.8% (2016) |
| Children under the age of 5 years underweight: | 18.5% (2016) |
| Education expenditures: | 1.9% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.6% |
| Literacy: | male: 80% |
| Literacy: | female: 71.8% (2016) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2018) |
| Unemployment, youth ages 15-24: | total: 2% |
| Unemployment, youth ages 15-24: | male: 1.8% |
| Unemployment, youth ages 15-24: | female: 2.2% (2018 est.) |
