| People and Society | BURMA |
| --- | --- |
| Population: | 55,123,814 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman (Bamar) 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Ethnic groups: | note: government recognizes 135 indigenous ethnic groups |
| Languages: | Burmese (official) |
| Languages: | note: minority ethnic groups have their own languages |
| Religions: | Buddhist 87.9%, Christian 6.2%, Muslim 4.3%, Animist 0.8%, Hindu 0.5%, other 0.2%, none 0.1% |
| Religions: | note: religion estimate is based on the 2014 national census, including an estimate for the non-enumerated population of Rakhine State, which is assumed to mainly affiliate with the Islamic faith (2014 est.) |
| Age structure: | 0-14 years: 26.85% (male 7,567,976/female 7,233,577) |
| Age structure: | 15-24 years: 17.75% (male 4,917,290/female 4,865,264) |
| Age structure: | 25-54 years: 42.36% (male 11,426,913/female 11,922,728) |
| Age structure: | 55-64 years: 7.52% (male 1,930,253/female 2,213,263) |
| Age structure: | 65 years and over: 5.53% (male 1,327,811/female 1,718,739) (2017 est.) |
| Dependency ratios: | total dependency ratio: 49.7 |
| Dependency ratios: | youth dependency ratio: 41.7 |
| Dependency ratios: | elderly dependency ratio: 8 |
| Dependency ratios: | potential support ratio: 12.6 (2015 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 27.4 years |
| Median age: | female: 29 years (2017 est.) |
| Population growth rate: | 0.91% (2017 est.) |
| Birth rate: | 18.1 births/1,000 population (2017 est.) |
| Death rate: | 7.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated along coastal areas and in general proximity to the shores of the Irrawaddy River; the extreme north is relatively underpopulated |
| Urbanization: | urban population: 35.2% of total population (2017) |
| Urbanization: | rate of urbanization: 2.29% annual rate of change (2015-20 est.) |
| Major urban areas - population: | RANGOON (Yangon) (capital) 4.802 million; Mandalay 1.167 million; Nay Pyi Taw 1.03 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2015/16 est.) |
| Maternal mortality rate: | 178 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 35.8 deaths/1,000 live births |
| Infant mortality rate: | male: 38.8 deaths/1,000 live births |
| Infant mortality rate: | female: 32.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 68.2 years |
| Life expectancy at birth: | male: 66.6 years |
| Life expectancy at birth: | female: 69.9 years (2017 est.) |
| Total fertility rate: | 2.17 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 52.2% (2015/16) |
| Health expenditures: | 2.3% of GDP (2014) |
| Physicians density: | 0.57 physicians/1,000 population (2012) |
| Hospital bed density: | 0.6 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.7% of population |
| Drinking water source: | rural: 74.4% of population |
| Drinking water source: | total: 80.6% of population |
| unimproved: | urban: 7.3% of population |
| unimproved: | rural: 25.6% of population |
| unimproved: | total: 19.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.3% of population |
| Sanitation facility access: | rural: 73.9% of population |
| Sanitation facility access: | total: 77.4% of population |
| unimproved: | urban: 15.7% of population |
| unimproved: | rural: 26.1% of population |
| unimproved: | total: 22.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 230,000 (2016 est.) |
| HIV/AIDS - deaths: | 7,800 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.8% (2016) |
| Children under the age of 5 years underweight: | 18.9% (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.6% |
| Literacy: | male: 80% |
| Literacy: | female: 71.8% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2007) |
