| People and Society | Burma |
| --- | --- |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Languages: | Burmese (official) |
| Languages: | note: minority ethnic groups have their own languages |
| Religions: | Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, Animist 1%, other 2% |
| Population: | 55,167,330 (July 2013 est.) |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 26.7% (male 7,514,233/female 7,227,893) |
| Age structure: | 15-24 years: 18.6% (male 5,183,653/female 5,060,385) |
| Age structure: | 25-54 years: 42.8% (male 11,724,297/female 11,879,420) |
| Age structure: | 55-64 years: 6.7% (male 1,754,397/female 1,963,051) |
| Age structure: | 65 years and over: 5.2% (male 1,244,758/female 1,615,243) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 43.1 % |
| population pyramid: | youth dependency ratio: 35.7 % |
| population pyramid: | elderly dependency ratio: 7.5 % |
| population pyramid: | potential support ratio: 13.4 (2013) |
| Median age: | total: 27.6 years |
| Median age: | male: 27 years |
| Median age: | female: 28.2 years (2013 est.) |
| Population growth rate: | 1.05% (2013 est.) |
| Birth rate: | 18.89 births/1,000 population (2013 est.) |
| Death rate: | 8.05 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 32.6% of total population (2011) |
| Urbanization: | rate of urbanization: 2.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | RANGOON (capital) 4.259 million; Mandalay 1.009 million; Nay Pyi Taw 992,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 46.31 deaths/1,000 live births |
| Infant mortality rate: | male: 52.91 deaths/1,000 live births |
| Infant mortality rate: | female: 39.31 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 65.6 years |
| Life expectancy at birth: | male: 63.24 years |
| Life expectancy at birth: | female: 68.09 years (2013 est.) |
| Total fertility rate: | 2.21 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 46% (2009/10) |
| Health expenditures: | 2% of GDP (2011) |
| Physicians density: | 0.5 physicians/1,000 population (2010) |
| Hospital bed density: | 0.6 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 78% of population |
| Drinking water source: | total: 83% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 22% of population |
| unimproved: | total: 17% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 83% of population |
| Sanitation facility access: | rural: 73% of population |
| Sanitation facility access: | total: 76% of population |
| unimproved: | urban: 17% of population |
| unimproved: | rural: 27% of population |
| unimproved: | total: 24% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2009 est.) |
| HIV/AIDS - deaths: | 18,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 4% (2008) |
| Children under the age of 5 years underweight: | 22.6% (2010) |
| Education expenditures: | 0.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.7% |
| Literacy: | male: 95.1% |
| Literacy: | female: 90.4% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2007) |
