| People | Guinea |
| --- | --- |
| Population: | 9,467,866 (July 2005 est.) |
| Age structure: | 0-14 years: 44.4% (male 2,123,207/female 2,079,475) |
| Age structure: | 15-64 years: 52.4% (male 2,478,820/female 2,486,300) |
| Age structure: | 65 years and over: 3.2% (male 131,130/female 168,934) (2005 est.) |
| Median age: | total: 17.67 years |
| Median age: | male: 17.42 years |
| Median age: | female: 17.93 years (2005 est.) |
| Population growth rate: | 2.37% (2005 est.) |
| Birth rate: | 42.03 births/1,000 population (2005 est.) |
| Death rate: | 15.38 deaths/1,000 population (2005 est.) |
| Net migration rate: | -2.99 migrant(s)/1,000 population |
| Net migration rate: | note: as a result of conflict in neighboring countries, Guinea is host to approximately 150,000 Liberian and Sierra Leonean refugees (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 90.37 deaths/1,000 live births |
| Infant mortality rate: | male: 95.82 deaths/1,000 live births |
| Infant mortality rate: | female: 84.76 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 49.36 years |
| Life expectancy at birth: | male: 48.19 years |
| Life expectancy at birth: | female: 50.57 years (2005 est.) |
| Total fertility rate: | 5.83 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 3.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2003 est.) |
| HIV/AIDS - deaths: | 9,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2004) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10% |
| Religions: | Muslim 85%, Christian 8%, indigenous beliefs 7% |
| Languages: | French (official), each ethnic group has its own language |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 35.9% |
| Literacy: | male: 49.9% |
| Literacy: | female: 21.9% (1995 est.) |
