| People and Society | Guinea |
| --- | --- |
| Population: | 12,527,440 (July 2020 est.) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Fulani (Peuhl) 33.4%, Malinke 29.4%, Susu 21.2%, Guerze 7.8%, Kissi 6.2%, Toma 1.6%, other/foreign .4% (2018 est.) |
| Languages: | French (official), Pular, Maninka, Susu, other native languages |
| Languages: | note: about 40 languages are spoken; each ethnic group has its own language |
| Religions: | Muslim 89.1%, Christian 6.8%, animist 1.6%, other .1%, none 2.4% (2014 est.) |
| Demographic profile: | Guineaâ€™s strong population growth is a result of declining mortality rates and sustained elevated fertility. The population growth rate was somewhat tempered in the 2000s because of a period of net outmigration. Although life expectancy and mortality rates have improved over the last two decades, the nearly universal practice of female genital cutting continues to contribute to high infant and maternal mortality rates. Guineaâ€™s total fertility remains high at about 5 children per woman because of the ongoing preference for larger families, low contraceptive usage and availability, a lack of educational attainment and empowerment among women, and poverty. A lack of literacy and vocational training programs limit job prospects for youths, but even those with university degrees often have no option but to work in the informal sector. About 60% of the countryâ€™s large youth population is unemployed. |
| Demographic profile: | Tensions and refugees have spilled over Guineaâ€™s borders with Sierra Leone, Liberia, and Cote dâ€™Ivoire. During the 1990s Guinea harbored as many as half a million refugees from Sierra Leone and Liberia, more refugees than any other African country for much of that decade. About half sought refuge in the volatile "Parrotâ€™s Beak" region of southwest Guinea, a wedge of land jutting into Sierra Leone near the Liberian border. Many were relocated within Guinea in the early 2000s because the area suffered repeated cross-border attacks from various government and rebel forces, as well as anti-refugee violence. |
| Age structure: | 0-14 years: 41.2% (male 2,601,221/female 2,559,918) |
| Age structure: | 15-24 years: 19.32% (male 1,215,654/female 1,204,366) |
| Age structure: | 25-54 years: 30.85% (male 1,933,141/female 1,930,977) |
| Age structure: | 55-64 years: 4.73% (male 287,448/female 305,420) |
| Age structure: | 65 years and over: 3.91% (male 218,803/female 270,492) (2020 est.) |
| Dependency ratios: | total dependency ratio: 85.2 |
| Dependency ratios: | youth dependency ratio: 79.7 |
| Dependency ratios: | elderly dependency ratio: 5.5 |
| Dependency ratios: | potential support ratio: 18.3 (2020 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 18.9 years |
| Median age: | female: 19.4 years (2020 est.) |
| Population growth rate: | 2.76% (2020 est.) |
| Birth rate: | 36.1 births/1,000 population (2020 est.) |
| Death rate: | 8.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | areas of highest density are in the west and south; interior is sparsely populated as shown in this population distribution map |
| Urbanization: | urban population: 36.5% of total population (2020) |
| Urbanization: | rate of urbanization: 3.54% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
