| People and Society | Guinea |
| --- | --- |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10% |
| Languages: | French (official) |
| Languages: | note: each ethnic group has its own language |
| Religions: | Muslim 85%, Christian 8%, indigenous beliefs 7% |
| Population: | 10,884,958 (July 2012 est.) |
| Age structure: | 0-14 years: 42.4% (male 2,330,406/ female 2,281,477) |
| Age structure: | 15-64 years: 54.1% (male 2,945,202/ female 2,942,363) |
| Age structure: | 65 years and over: 3.5% (male 169,937/ female 215,573) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.6 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.9 years (2012 est.) |
| Population growth rate: | 2.641% (2012 est.) |
| Birth rate: | 36.6 births/1,000 population (2012 est.) |
| Death rate: | 10.19 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 35% of total population (2010) |
| Urbanization: | rate of urbanization: 4.3% annual rate of change (2010-15 est.) |
| Major cities - population: | CONAKRY (capital) 1.597 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 610 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 59.04 deaths/1,000 live births |
| Infant mortality rate: | male: 62.18 deaths/1,000 live births |
| Infant mortality rate: | female: 55.81 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 58.61 years |
| Life expectancy at birth: | male: 57.12 years |
| Life expectancy at birth: | female: 60.15 years (2012 est.) |
| Total fertility rate: | 5.04 children born/woman (2012 est.) |
| Health expenditures: | 6.1% of GDP (2009) |
| Physicians density: | 0.1 physicians/1,000 population (2005) |
| Hospital bed density: | 0.31 beds/1,000 population (2005) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 34% of population |
| Sanitation facility access: | rural: 11% of population |
| Sanitation facility access: | total: 19% of population |
| unimproved: | urban: 66% of population |
| unimproved: | rural: 89% of population |
| unimproved: | total: 81% of population |
| HIV/AIDS - adult prevalence rate: | 1.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 79,000 (2009 est.) |
| HIV/AIDS - deaths: | 4,700 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 20.8% (2008) |
| Education expenditures: | 2.4% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 41% |
| Literacy: | male: 52% |
| Literacy: | female: 30% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2009) |
