| People | Guinea |
| --- | --- |
| Population: | 10,324,025 (July 2010 est.) |
| Age structure: | 0-14 years: 42.8% (male 2,175,852/female 2,128,518) |
| Age structure: | 15-64 years: 53.7% (male 2,701,184/female 2,704,161) |
| Age structure: | 65 years and over: 3.5% (male 153,053/female 195,207) (2010 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.3 years |
| Median age: | female: 18.8 years (2010 est.) |
| Population growth rate: | 2.649% (2010 est.) |
| Birth rate: | 37.21 births/1,000 population (2010 est.) |
| Death rate: | 10.72 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 34% of total population (2008) |
| Urbanization: | rate of urbanization: 3.5% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 63.09 deaths/1,000 live births |
| Infant mortality rate: | male: 66.46 deaths/1,000 live births |
| Infant mortality rate: | female: 59.62 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 57.6 years |
| Life expectancy at birth: | male: 56.13 years |
| Life expectancy at birth: | female: 59.12 years (2010 est.) |
| Total fertility rate: | 5.15 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.6% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 87,000 (2007 est.) |
| HIV/AIDS - deaths: | 4,500 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2009) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10% |
| Religions: | Muslim 85%, Christian 8%, indigenous beliefs 7% |
| Languages: | French (official); note - each ethnic group has its own language |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 29.5% |
| Literacy: | male: 42.6% |
| Literacy: | female: 18.1% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2008) |
| Education expenditures: | 1.7% of GDP (2008) |
