| People and Society | Namibia |
| --- | --- |
| Population: | 2,533,224 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Namibian(s) |
| Nationality: | adjective: Namibian |
| Ethnic groups: | black 87.5%, white 6%, mixed 6.5% |
| Ethnic groups: | note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other indigenous ethnic groups include Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, San 3%, Baster 2%, Tswana 0.5% |
| Languages: | Oshiwambo languages 49.7%, Nama/Damara 11%, Kavango languages 10.4%, Afrikaans 9.4% (common language of most of the population and about 60% of the white population), Herero languages 9.2%, Zambezi languages 4.9%, English (official) 2.3%, other African languages 1.5%, other European languages .7%, other 1% (2016 est.) |
| Languages: | note: Namibia has 13 recognized national languages, including 10 indigenous African languages and 3 Indo-European languages |
| Religions: | Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20% |
| Demographic profile: | Planning officials view Namibiaâ€™s reduced population growth rate as sustainable based on the countryâ€™s economic growth over the past decade. Prior to independence in 1990, Namibiaâ€™s relatively small population grew at about 3% annually, but declining fertility and the impact of HIV/AIDS slowed this growth to 1.4% by 2011, rebounding to close to 2% by 2016. Namibiaâ€™s fertility rate has fallen over the last two decades â€“ from about 4.5 children per woman in 1996 to 3.4 in 2016 â€“ due to increased contraceptive use, higher educational attainment among women, and greater female participation in the labor force. The average age at first birth has stayed fairly constant, but the age at first marriage continues to increase, indicating a rising incidence of premarital childbearing. |
| Demographic profile: | The majority of Namibians are rural dwellers (about 55%) and live in the better-watered north and northeast parts of the country. Migration, historically male-dominated, generally flows from northern communal areas â€“ non-agricultural lands where blacks were sequestered under the apartheid system â€“ to agricultural, mining, and manufacturing centers in the center and south. After independence from South Africa, restrictions on internal movement eased, and rural-urban migration increased, bolstering urban growth. |
| Demographic profile: | Some Namibians â€“ usually persons who are better-educated, more affluent, and from urban areas â€“ continue to legally migrate to South Africa temporarily to visit family and friends and, much less frequently, to pursue tertiary education or better economic opportunities. Namibians concentrated along the countryâ€™s other borders make unauthorized visits to Angola, Zambia, Zimbabwe, or Botswana, to visit family and to trade agricultural goods. Few Namibians express interest in permanently settling in other countries; they prefer the safety of their homeland, have a strong national identity, and enjoy a well-supplied retail sector. Although Namibia is receptive to foreign investment and cross-border trade, intolerance toward non-citizens is widespread. |
| Age structure: | 0-14 years: 36.54% (male 467,392 /female 458,190) |
| Age structure: | 15-24 years: 20.34% (male 257,190 /female 257,984) |
| Age structure: | 25-54 years: 34.74% (male 421,849 /female 458,118) |
| Age structure: | 55-64 years: 4.46% (male 50,459 /female 62,478) |
| Age structure: | 65 years and over: 3.93% (male 42,381 /female 57,183) (2018 est.) |
| Dependency ratios: | total dependency ratio: 68.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 62.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 17.1 (2015 est.) |
| Median age: | total: 21.4 years |
| Median age: | male: 20.7 years |
| Median age: | female: 22.2 years (2018 est.) |
| Population growth rate: | 1.91% (2018 est.) |
| Birth rate: | 26.8 births/1,000 population (2018 est.) |
| Death rate: | 7.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population density is very low, with the largest clustering found in the extreme north-central area along the border with Angola |
| Urbanization: | urban population: 50% of total population (2018) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 404,000 WINDHOEK (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.91 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.75 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.96 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 21.5 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 265 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 33.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 36 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 31.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 64.4 years (2018 est.) |
| Life expectancy at birth: | male: 62.7 years (2018 est.) |
| Life expectancy at birth: | female: 66.2 years (2018 est.) |
| Total fertility rate: | 3.21 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 56.1% (2013) |
| Health expenditures: | 8.9% of GDP (2014) |
| Hospital bed density: | 2.7 beds/1,000 population (2009) |
| Drinking water source: | improved: urban: 98.2% of population |
| Drinking water source: | rural: 84.6% of population |
| Drinking water source: | total: 91% of population |
| Drinking water source: | unimproved: urban: 1.8% of population |
| Drinking water source: | rural: 15.4% of population |
| Drinking water source: | total: 9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 54.5% of population (2015 est.) |
| Sanitation facility access: | rural: 16.8% of population (2015 est.) |
| Sanitation facility access: | total: 34.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 45.5% of population (2015 est.) |
| Sanitation facility access: | rural: 83.2% of population (2015 est.) |
| Sanitation facility access: | total: 65.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 12.1% (2017 est.) |
