| People and Society | Namibia |
| --- | --- |
| Nationality: | noun: Namibian(s) |
| Nationality: | adjective: Namibian |
| Ethnic groups: | black 87.5%, white 6%, mixed 6.5% |
| Ethnic groups: | note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups include Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5% |
| Languages: | English (official) 7%, Afrikaans (common language of most of the population and about 60% of the white population), German 32%, indigenous languages (includes Oshivambo, Herero, Nama) 1% |
| Religions: | Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20% |
| Population: | 2,147,585 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 34.2% (male 371,078/female 364,232) |
| Age structure: | 15-64 years: 61.7% (male 671,853/female 652,414) |
| Age structure: | 65 years and over: 4.1% (male 38,851/female 49,157) (2011 est.) |
| Median age: | total: 21.7 years |
| Median age: | male: 21.7 years |
| Median age: | female: 21.8 years (2011 est.) |
| Population growth rate: | 0.873% (2011 est.) |
| Birth rate: | 21.48 births/1,000 population (2011 est.) |
| Death rate: | 12.95 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0.2 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 38% of total population (2010) |
| Urbanization: | rate of urbanization: 3.3% annual rate of change (2010-15 est.) |
| Major cities - population: | WINDHOEK (capital) 342,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 180 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 45.59 deaths/1,000 live births |
| Infant mortality rate: | male: 48.86 deaths/1,000 live births |
| Infant mortality rate: | female: 42.21 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 52.19 years |
| Life expectancy at birth: | male: 52.48 years |
| Life expectancy at birth: | female: 51.89 years (2011 est.) |
| Total fertility rate: | 2.49 children born/woman (2011 est.) |
| Health expenditures: | 5.9% of GDP (2009) |
| Physicians density: | 0.374 physicians/1,000 population (2007) |
| Hospital bed density: | 2.67 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 88% of population |
| Drinking water source: | total: 92% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 8% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 60% of population |
| Sanitation facility access: | rural: 17% of population |
| Sanitation facility access: | total: 33% of population |
| unimproved: | urban: 40% of population |
| unimproved: | rural: 83% of population |
| unimproved: | total: 67% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 13.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 180,000 (2009 est.) |
| HIV/AIDS - deaths: | 6,700 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Children under the age of 5 years underweight: | 17.5% (2007) |
| Education expenditures: | 6.4% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85% |
| Literacy: | male: 86.8% |
| Literacy: | female: 83.5% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 41.7% |
| Unemployment, youth ages 15-24: | male: 36.7% |
| Unemployment, youth ages 15-24: | female: 47.1% (2004) |
