| People and Society | Namibia |
| --- | --- |
| Population: | 2,630,073 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Namibian(s) |
| Nationality: | adjective: Namibian |
| Ethnic groups: | Ovambo 50%, Kavangos 9%, Herero 7%, Damara 7%, mixed European and African ancestry 6.5%, EuropeanÂ 6%,Â Nama 5%, Caprivian 4%, San 3%, Baster 2%, Tswana .5% |
| Languages: | Oshiwambo languages 49.7%, Nama/Damara 11%, Kavango languages 10.4%, Afrikaans 9.4% (also a common language), Herero languages 9.2%, Zambezi languages 4.9%, English (official) 2.3%, other African languages 1.5%, other European languages .7%, other 1% (2016 est.) |
| Languages: | note: Namibia has 13 recognized national languages, including 10 indigenous African languages and 3 European languages |
| Religions: | Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20% |
| Demographic profile: | Planning officials view Namibiaâ€™s reduced population growth rate as sustainable based on the countryâ€™s economic growth over the past decade. Prior to independence in 1990, Namibiaâ€™s relatively small population grew at about 3% annually, but declining fertility and the impact of HIV/AIDS slowed this growth to 1.4% by 2011, rebounding to close to 2% by 2016. Namibiaâ€™s fertility rate has fallen over the last two decades â€“ from about 4.5 children per woman in 1996 to 3.4 in 2016 â€“ due to increased contraceptive use, higher educational attainment among women, and greater female participation in the labor force. The average age at first birth has stayed fairly constant, but the age at first marriage continues to increase, indicating a rising incidence of premarital childbearing. |
| Demographic profile: | The majority of Namibians are rural dwellers (about 55%) and live in the better-watered north and northeast parts of the country. Migration, historically male-dominated, generally flows from northern communal areas â€“ non-agricultural lands where blacks were sequestered under the apartheid system â€“ to agricultural, mining, and manufacturing centers in the center and south. After independence from South Africa, restrictions on internal movement eased, and rural-urban migration increased, bolstering urban growth. |
| Demographic profile: | Some Namibians â€“ usually persons who are better-educated, more affluent, and from urban areas â€“ continue to legally migrate to South Africa temporarily to visit family and friends and, much less frequently, to pursue tertiary education or better economic opportunities. Namibians concentrated along the countryâ€™s other borders make unauthorized visits to Angola, Zambia, Zimbabwe, or Botswana, to visit family and to trade agricultural goods. Few Namibians express interest in permanently settling in other countries; they prefer the safety of their homeland, have a strong national identity, and enjoy a well-supplied retail sector. Although Namibia is receptive to foreign investment and cross-border trade, intolerance toward non-citizens is widespread. |
| Age structure: | 0-14 years: 35.68% (male 473,937/female 464,453) |
| Age structure: | 15-24 years: 20.27% (male 267,106/female 265,882) |
| Age structure: | 25-54 years: 35.47% (male 449,132/female 483,811) |
| Age structure: | 55-64 years: 4.68% (male 54,589/female 68,619) |
| Age structure: | 65 years and over: 3.9% (male 43,596/female 58,948) (2020 est.) |
| Dependency ratios: | total dependency ratio: 67.9 |
| Dependency ratios: | youth dependency ratio: 61.8 |
| Dependency ratios: | elderly dependency ratio: 6 |
| Dependency ratios: | potential support ratio: 16.6 (2020 est.) |
| Median age: | total: 21.8 years |
| Median age: | male: 21.1 years |
| Median age: | female: 22.6 years (2020 est.) |
| Population growth rate: | 1.86% (2020 est.) |
| Birth rate: | 25.7 births/1,000 population (2020 est.) |
| Death rate: | 7.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population density is very low, with the largest clustering found in the extreme north-central area along the border with Angola as shown in this population distribution map |
| Urbanization: | urban population: 52% of total population (2020) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 431,000 WINDHOEK (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.5 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 195 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 31.4 deaths/1,000 live births |
| Infant mortality rate: | male: 33.5 deaths/1,000 live births |
