| People and Society | Somalia |
| --- | --- |
| Population: | 11,259,029 (July 2018 est.) |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs) |
| Languages: | Somali (official, according to the 2012 Transitional Federal Charter), Arabic (official, according to the 2012 Transitional Federal Charter), Italian, English |
| Religions: | Sunni Muslim (Islam) (official, according to the 2012 Transitional Federal Charter) |
| Demographic profile: | Somalia scores very low for most humanitarian indicators, suffering from poor governance, protracted internal conflict, underdevelopment, economic decline, poverty, social and gender inequality, and environmental degradation. Despite civil war and famine raising its mortality rate, Somaliaâ€™s high fertility rate and large proportion of people of reproductive age maintain rapid population growth, with each generation being larger than the prior one. More than 60% of Somaliaâ€™s population is younger than 25, and the fertility rate is among the worldâ€™s highest at almost 6 children per woman â€“ a rate that has decreased little since the 1970s. |
| Demographic profile: | A lack of educational and job opportunities is a major source of tension for Somaliaâ€™s large youth cohort, making them vulnerable to recruitment by extremist and pirate groups. Somalia has one of the worldâ€™s lowest primary school enrollment rates â€“ just over 40% of children are in school â€“ and one of worldâ€™s highest youth unemployment rates. Life expectancy is low as a result of high infant and maternal mortality rates, the spread of preventable diseases, poor sanitation, chronic malnutrition, and inadequate health services. |
| Demographic profile: | During the two decades of conflict that followed the fall of the SIAD regime in 1991, hundreds of thousands of Somalis fled their homes. Today Somalia is the worldâ€™s third highest source country for refugees, after Syria and Afghanistan. Insecurity, drought, floods, food shortages, and a lack of economic opportunities are the driving factors. |
