| People and Society | Slovakia |
| --- | --- |
| Population: | 5,445,040 (July 2018 est.) |
| Nationality: | noun: Slovak(s) |
| Nationality: | adjective: Slovak |
| Ethnic groups: | Slovak 80.7%, Hungarian 8.5%, Romani 2%, other 1.8% (includes Czech, Ruthenian, Ukrainian, Russian, German, Polish), unspecified 7% (2011 est.) |
| Ethnic groups: | note: data represent population by nationality; Romani populations are usually underestimated in official statistics and may represent 7â€“11% of Slovakia's population |
| Languages: | Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8% (2011 est.) |
| Religions: | Roman Catholic 62%, Protestant 8.2%, Greek Catholic 3.8%, other or unspecified 12.5%, none 13.4% (2011 est.) |
| Age structure: | 0-14 years: 15.2% (male 424,921 /female 402,483) |
| Age structure: | 15-24 years: 10.48% (male 293,573 /female 277,041) |
| Age structure: | 25-54 years: 45.04% (male 1,239,670 /female 1,212,687) |
| Age structure: | 55-64 years: 13.32% (male 345,114 /female 380,077) |
| Age structure: | 65 years and over: 15.97% (male 339,350 /female 530,124) (2018 est.) |
| Dependency ratios: | total dependency ratio: 41.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 19.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 5 (2015 est.) |
| Median age: | total: 41 years |
| Median age: | male: 39.3 years |
| Median age: | female: 42.7 years (2018 est.) |
| Population growth rate: | -0.02% (2018 est.) |
| Birth rate: | 9.6 births/1,000 population (2018 est.) |
| Death rate: | 9.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country; slightly larger concentration in the west in proximity to the Czech border |
| Urbanization: | urban population: 53.7% of total population (2018) |
| Urbanization: | rate of urbanization: 0% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 430,000 BRATISLAVA (capital) (2018) |
| Sex ratio: | at birth: 1.07 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.9 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.62 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.94 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 27.6 years (2014 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 5.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 4.4 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 77.4 years (2018 est.) |
| Life expectancy at birth: | male: 73.9 years (2018 est.) |
| Life expectancy at birth: | female: 81.2 years (2018 est.) |
| Total fertility rate: | 1.42 children born/woman (2018 est.) |
| Health expenditures: | 8.1% of GDP (2014) |
| Physicians density: | 3.45 physicians/1,000 population (2015) |
| Hospital bed density: | 5.8 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 99.4% of population (2015 est.) |
| Sanitation facility access: | rural: 98.2% of population (2015 est.) |
| Sanitation facility access: | total: 98.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.6% of population (2015 est.) |
| Sanitation facility access: | rural: 1.8% of population (2015 est.) |
| Sanitation facility access: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2017 est.) |
| Obesity - adult prevalence rate: | 20.5% (2016) |
| Education expenditures: | 4.6% of GDP (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years (2014) |
| School life expectancy (primary to tertiary education): | male: 14 years (2014) |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 22.2% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 19.8% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 26.3% (2016 est.) |
