| People and Society | Korea, South |
| --- | --- |
| Population: | 51,418,097 (July 2018 est.) |
| Nationality: | noun: Korean(s) |
| Nationality: | adjective: Korean |
| Ethnic groups: | homogeneous |
| Languages: | Korean, English (widely taught in elementary, junior high, and high school) |
| Religions: | Protestant 19.7%, Buddhist 15.5%, Catholic 7.9%, none 56.9% (2015 est.) |
| Religions: | note: many people also carry on at least some Confucian traditions and practices |
| Age structure: | 0-14 years: 13.03% (male 3,448,627 /female 3,251,786) |
| Age structure: | 15-24 years: 12.19% (male 3,295,814 /female 2,970,439) |
| Age structure: | 25-54 years: 45.13% (male 11,986,760 /female 11,220,268) |
| Age structure: | 55-64 years: 15.09% (male 3,825,127 /female 3,935,700) |
| Age structure: | 65 years and over: 14.55% (male 3,202,232 /female 4,281,344) (2018 est.) |
| Dependency ratios: | total dependency ratio: 36.7 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 19 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 17.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 5.6 (2015 est.) |
| Median age: | total: 42.3 years (2018 est.) |
| Median age: | male: 40.6 years |
| Median age: | female: 44 years |
| Population growth rate: | 0.44% (2018 est.) |
| Birth rate: | 8.3 births/1,000 population (2018 est.) |
| Death rate: | 6.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated |
| Urbanization: | urban population: 81.4% of total population (2019) |
| Urbanization: | rate of urbanization: 0.3% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 9.962 million SEOUL (capital), 3.466 million Busan, 2.783 million Incheon, 2.209 million Daegu (Taegu), 1.562 million Daejon (Taejon), 1.519 million Gwangju (Kwangju) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 31 years (2014 est.) |
| Maternal mortality rate: | 11 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.2 deaths/1,000 live births |
| Infant mortality rate: | female: 2.8 deaths/1,000 live births |
| Life expectancy at birth: | total population: 82.5 years (2018 est.) |
| Life expectancy at birth: | male: 79.4 years |
| Life expectancy at birth: | female: 85.8 years |
| Total fertility rate: | 1.27 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 79.6% (2015) |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 |
| Drinking water source: | improved: urban: 99.7% of population |
| Drinking water source: | rural: 87.9% of population |
| Drinking water source: | total: 97.8% of population |
| Drinking water source: | unimproved: urban: 0.3% of population |
| Drinking water source: | rural: 12.1% of population |
| Drinking water source: | total: 2.2% of population (2012 est.) |
| Current Health Expenditure: | 7.3% (2016) |
| Physicians density: | 2.37 physicians/1,000 population (2017) |
| Hospital bed density: | 11.5 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 4.7% (2016) |
| Children under the age of 5 years underweight: | 0.7% (2010) |
| Education expenditures: | 5.3% of GDP (2015) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2013) |
| Unemployment, youth ages 15-24: | total: 10.4% |
| Unemployment, youth ages 15-24: | male: 11.3% |
| Unemployment, youth ages 15-24: | female: 9.7% (2017 est.) |
