| People and Society | KOREA, SOUTH |
| --- | --- |
| Population: | 51,181,299 (July 2017 est.) |
| Nationality: | noun: Korean(s) |
| Nationality: | adjective: Korean |
| Ethnic groups: | homogeneous |
| Languages: | Korean, English (widely taught in junior high and high school) |
| Religions: | Protestant 19.7%, Buddhist 15.5%, Catholic 7.9%, none 56.9% (2015 est.) |
| Age structure: | 0-14 years: 13.21% (male 3,484,398/female 3,276,984) |
| Age structure: | 15-24 years: 12.66% (male 3,415,998/female 3,065,144) |
| Age structure: | 25-54 years: 45.52% (male 11,992,462/female 11,303,726) |
| Age structure: | 55-64 years: 14.49% (male 3,660,888/female 3,756,947) |
| Age structure: | 65 years and over: 14.12% (male 3,080,601/female 4,144,151) (2017 est.) |
| Dependency ratios: | total dependency ratio: 36.7 |
| Dependency ratios: | youth dependency ratio: 19 |
| Dependency ratios: | elderly dependency ratio: 17.7 |
| Dependency ratios: | potential support ratio: 5.6 (2015 est.) |
| Median age: | total: 41.8 years |
| Median age: | male: 40.2 years |
| Median age: | female: 43.4 years (2017 est.) |
| Population growth rate: | 0.48% (2017 est.) |
| Birth rate: | 8.3 births/1,000 population (2017 est.) |
| Death rate: | 6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated |
| Urbanization: | urban population: 82.7% of total population (2017) |
| Urbanization: | rate of urbanization: 0.55% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SEOUL (capital) 9.774 million; Busan (Pusan) 3.216 million; Incheon (Inch'on) 2.685 million; Daegu (Taegu) 2.244 million; Daejon (Taejon) 1.564 million; Gwangju (Kwangju) 1.536 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.12 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 31 years (2014 est.) |
| Maternal mortality rate: | 11 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.2 deaths/1,000 live births |
| Infant mortality rate: | female: 2.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 82.5 years |
| Life expectancy at birth: | male: 79.3 years |
| Life expectancy at birth: | female: 85.8 years (2017 est.) |
| Total fertility rate: | 1.26 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 80% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2009) |
| Health expenditures: | 7.4% of GDP (2014) |
| Physicians density: | 2.23 physicians/1,000 population (2014) |
| Hospital bed density: | 10.3 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 87.9% of population |
| Drinking water source: | total: 97.8% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 12.1% of population |
| unimproved: | total: 2.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 4.7% (2016) |
| Children under the age of 5 years underweight: | 0.7% (2010) |
| Education expenditures: | 4.6% of GDP (2012) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2013) |
| Unemployment, youth ages 15-24: | total: 10.7% |
| Unemployment, youth ages 15-24: | male: 11% |
| Unemployment, youth ages 15-24: | female: 10.5% (2016 est.) |
