| People and Society | Cayman Islands |
| --- | --- |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 95%, Spanish 3.2%, other 1.8% (1999 census) |
| Religions: | Protestant 67.7% (Church of God 25.5%, Presbyterian/United Church 9.2%, Seventh-Day Adventist 8.4%, Baptist 8.3%, Pentecostal 6.7%, Anglican 3.9%, non-denominational 5.7%), Roman Catholic 12.6%, other religions 4%, other 6.5%, none 6.1%, unspecified 3.2% (2007) |
| Population: | 51,384 (July 2011 est.) |
| Population: | note: most of the population lives on Grand Cayman |
| Age structure: | 0-14 years: 19% (male 4,924/female 4,858) |
| Age structure: | 15-64 years: 71.1% (male 17,766/female 18,743) |
| Age structure: | 65 years and over: 9.9% (male 2,401/female 2,692) (2011 est.) |
| Median age: | total: 38.7 years |
| Median age: | male: 38.2 years |
| Median age: | female: 39.2 years (2011 est.) |
| Population growth rate: | 2.287% (2011 est.) |
| Birth rate: | 12.24 births/1,000 population (2011 est.) |
| Death rate: | 5.1 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 15.72 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2011 est.) |
| Urbanization: | urban population: 100% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Major cities - population: | GEORGE TOWN (capital) 32,000 (2009) |
| Sex ratio: | at birth: 1.016 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 6.63 deaths/1,000 live births |
| Infant mortality rate: | male: 7.6 deaths/1,000 live births |
| Infant mortality rate: | female: 5.65 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 80.68 years |
| Life expectancy at birth: | male: 78.02 years |
| Life expectancy at birth: | female: 83.39 years (2011 est.) |
| Total fertility rate: | 1.87 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | total: 95% of population |
| unimproved: | urban: 5% of population |
| unimproved: | total: 5% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | total: 4% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.6% of GDP (2006) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98% |
| Literacy: | male: 98% |
| Literacy: | female: 98% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 13.5% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 13.3% (2008) |
