| People and Society | Cayman Islands |
| --- | --- |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 95%, Spanish 3.2%, other 1.8% (1999 census) |
| Religions: | Protestant 67.7% (Church of God 25.5%, Presbyterian/United Church 9.2%, Seventh-Day Adventist 8.4%, Baptist 8.3%, Pentecostal 6.7%, Anglican 3.9%, non-denominational 5.7%), Roman Catholic 12.6%, other religions 4%, other 6.5%, none 6.1%, unspecified 3.2% (2007) |
| Population: | 53,737 (July 2013 est.) |
| Population: | note: most of the population lives on Grand Cayman (July 2013 est.) |
| Age structure: | 0-14 years: 18.6% (male 5,030/female 4,962) |
| Age structure: | 15-24 years: 12.9% (male 3,436/female 3,516) |
| Age structure: | 25-54 years: 44.6% (male 11,662/female 12,283) |
| Age structure: | 55-64 years: 13.2% (male 3,388/female 3,729) |
| Age structure: | 65 years and over: 10.7% (male 2,707/female 3,024) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.3 years |
| population pyramid: | male: 38.6 years |
| population pyramid: | female: 39.8 years (2013 est.) |
| Population growth rate: | 2.19% (2013 est.) |
| Birth rate: | 12.17 births/1,000 population (2013 est.) |
| Death rate: | 5.3 deaths/1,000 population (2013 est.) |
| Net migration rate: | 15.04 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2013 est.) |
| Urbanization: | urban population: 100% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GEORGE TOWN (capital) 28,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 6.35 deaths/1,000 live births |
| Infant mortality rate: | male: 7.26 deaths/1,000 live births |
| Infant mortality rate: | female: 5.42 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 80.91 years |
| Life expectancy at birth: | male: 78.23 years |
| Life expectancy at birth: | female: 83.64 years (2013 est.) |
| Total fertility rate: | 1.86 children born/woman (2013 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | total: 4% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.9% |
| Literacy: | male: 98.7% |
| Literacy: | female: 99% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2008) |
| Unemployment, youth ages 15-24: | total: 13.5% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 13.3% (2008) |
