| People and Society | Cayman Islands |
| --- | --- |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 90.9%, Spanish 4%, Filipino 3.3%, other 1.7%, unspecified 0.1% (2010 est.) |
| Religions: | Protestant 67.8% (includes Church of God 22.6%, Seventh Day Adventist 9.4%, Presbyterian/United Church 8.6%, Baptist 8.3%,Pentecostal 7.1%, non-denominational 5.3%, Anglican 4.1%, Wesleyan Holiness 2.4%), Roman Catholic 14.1%, Jehovah's Witness 1.1%, other 7%, none 9.3%, unspecified 0.7% (2010 est.) |
| Population: | 54,914 (July 2013 est.) |
| Population: | note: most of the population lives on Grand Cayman (July 2014 est.) |
| Age structure: | 0-14 years: 18.4% (male 5,093/female 5,022) |
| Age structure: | 15-24 years: 12.9% (male 3,505/female 3,579) |
| Age structure: | 25-54 years: 44% (male 11,771/female 12,384) |
| Age structure: | 55-64 years: 13.6% (male 3,549/female 3,922) |
| Age structure: | 65 years and over: 10.7% (male 2,870/female 3,219) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.5 years |
| population pyramid: | male: 38.8 years |
| population pyramid: | female: 40.1 years (2014 est.) |
| Population growth rate: | 2.14% (2014 est.) |
| Birth rate: | 12.13 births/1,000 population (2014 est.) |
| Death rate: | 5.41 deaths/1,000 population (2014 est.) |
| Net migration rate: | 14.71 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2014 est.) |
| Urbanization: | urban population: 100% of total population (2011) |
| Urbanization: | rate of urbanization: 0.82% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GEORGE TOWN (capital) 28,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 6.21 deaths/1,000 live births |
| Infant mortality rate: | male: 7.1 deaths/1,000 live births |
| Infant mortality rate: | female: 5.31 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.02 years |
| Life expectancy at birth: | male: 78.33 years |
| Life expectancy at birth: | female: 83.76 years (2014 est.) |
| Total fertility rate: | 1.86 children born/woman (2014 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.6% of population |
| Drinking water source: | total: 95.6% of population |
| unimproved: | urban: 4.4% of population |
| unimproved: | total: 4.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | total: 96.2% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | total: 3.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.9% |
| Literacy: | male: 98.7% |
| Literacy: | female: 99% (2007 est.) |
| Unemployment, youth ages 15-24: | total: 13.5% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 13.3% (2008) |
