| People and Society | Saint Martin |
| --- | --- |
| Ethnic groups: | Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia), white, East Indian |
| Languages: | French (official), English, Dutch, French Patois, Spanish, Papiamento (dialect of Netherlands Antilles) |
| Religions: | Roman Catholic, Jehovah's Witnesses, Protestant, Hindu |
| Population: | 31,264 (July 2013 est.) |
| Age structure: | 0-14 years: 26.7% (male 4,157/female 4,196) |
| Age structure: | 15-24 years: 11% (male 1,768/female 1,681) |
| Age structure: | 25-54 years: 47.3% (male 6,972/female 7,822) |
| Age structure: | 55-64 years: 8.3% (male 1,217/female 1,379) |
| Age structure: | 65 years and over: 6.6% (male 928/female 1,144) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.5 years |
| population pyramid: | male: 30.5 years |
| population pyramid: | female: 32.4 years (2013 est.) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2013 est.) |
| Education expenditures: | NA |
