| People and Society | Guernsey |
| --- | --- |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | British and Norman-French descent with small percentages from other European countries |
| Languages: | English, French, Norman-French dialect spoken in country districts |
| Religions: | Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic |
| Population: | 65,849 (July 2014 est.) |
| Age structure: | 0-14 years: 14.6% (male 4,967/female 4,629) |
| Age structure: | 15-24 years: 11.9% (male 3,993/female 3,854) |
| Age structure: | 25-54 years: 42.2% (male 13,991/female 13,800) |
| Age structure: | 55-64 years: 12.9% (male 4,229/female 4,249) |
| Age structure: | 65 years and over: 17.9% (male 5,469/female 6,668) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.4 % |
| population pyramid: | youth dependency ratio: 21.7 % |
| population pyramid: | elderly dependency ratio: 24.7 % |
| population pyramid: | potential support ratio: 4 |
| population pyramid: | note: data represents the Channel Islands (2014 est.) |
| Median age: | total: 43.1 years |
| Median age: | male: 41.9 years |
| Median age: | female: 44.2 years (2014 est.) |
| Population growth rate: | 0.36% (2014 est.) |
| Birth rate: | 9.89 births/1,000 population (2014 est.) |
| Death rate: | 8.69 deaths/1,000 population (2014 est.) |
| Net migration rate: | 2.4 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 31.2% of total population (2011) |
| Urbanization: | rate of urbanization: 0.63% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 3.47 deaths/1,000 live births |
| Infant mortality rate: | male: 3.77 deaths/1,000 live births |
| Infant mortality rate: | female: 3.15 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 82.39 years |
| Life expectancy at birth: | male: 79.72 years |
| Life expectancy at birth: | female: 85.2 years (2014 est.) |
| Total fertility rate: | 1.55 children born/woman (2014 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | NA |
