| People and Society | GUERNSEY |
| --- | --- |
| Population: | 66,297 (July 2016 est.) |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | British and Norman-French descent with small percentages from other European countries |
| Languages: | English, French, Norman-French dialect spoken in country districts |
| Religions: | Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic |
| Age structure: | 0-14 years: 14.46% (male 4,956/female 4,630) |
| Age structure: | 15-24 years: 11.45% (male 3,877/female 3,715) |
| Age structure: | 25-54 years: 41.89% (male 14,009/female 13,760) |
| Age structure: | 55-64 years: 12.93% (male 4,267/female 4,304) |
| Age structure: | 65 years and over: 19.28% (male 5,797/female 6,982) (2016 est.) |
| Dependency ratios: | total dependency ratio: 47% |
| Dependency ratios: | youth dependency ratio: 21.6% |
| Dependency ratios: | elderly dependency ratio: 25.4% |
| Dependency ratios: | potential support ratio: 3.9% |
| Dependency ratios: | note: data represent the Channel Islands (2015 est.) |
| Median age: | total: 43.6 years |
| Median age: | male: 42.3 years |
| Median age: | female: 44.8 years (2016 est.) |
| Population growth rate: | 0.32% (2016 est.) |
| Birth rate: | 9.8 births/1,000 population (2016 est.) |
| Death rate: | 8.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 31.4% of total population (2014) |
| Urbanization: | rate of urbanization: 0.76% annual rate of change (2010-15 est.) |
| Urbanization: | note: data are for the Channel Islands |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 82.5 years |
| Life expectancy at birth: | male: 79.9 years |
| Life expectancy at birth: | female: 85.4 years (2016 est.) |
| Total fertility rate: | 1.56 children born/woman (2016 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
