| People and Society | Guernsey |
| --- | --- |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | British and Norman-French descent with small percentages from other European countries |
| Languages: | English, French, Norman-French dialect spoken in country districts |
| Religions: | Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic |
| Population: | 65,605 (July 2013 est.) |
| Age structure: | 0-14 years: 14.7% (male 4,992/female 4,642) |
| Age structure: | 15-24 years: 12.1% (male 4,023/female 3,901) |
| Age structure: | 25-54 years: 42.3% (male 13,957/female 13,811) |
| Age structure: | 55-64 years: 13% (male 4,252/female 4,266) |
| Age structure: | 65 years and over: 17.9% (male 5,281/female 6,480) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46 % |
| population pyramid: | youth dependency ratio: 21.8 % |
| population pyramid: | elderly dependency ratio: 24.2 % |
| population pyramid: | potential support ratio: 4.1 |
| population pyramid: | note: data represents the Channel Islands (2013) |
| Median age: | total: 42.8 years |
| Median age: | male: 41.7 years |
| Median age: | female: 43.9 years (2013 est.) |
| Population growth rate: | 0.38% (2013 est.) |
| Birth rate: | 9.95 births/1,000 population (2013 est.) |
| Death rate: | 8.61 deaths/1,000 population (2013 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 31% of total population (2010) |
| Urbanization: | rate of urbanization: 0.8% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 3.49 deaths/1,000 live births |
| Infant mortality rate: | male: 3.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3.17 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 82.32 years |
| Life expectancy at birth: | male: 79.65 years |
| Life expectancy at birth: | female: 85.12 years (2013 est.) |
| Total fertility rate: | 1.54 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | NA |
