| People and Society | Guernsey |
| --- | --- |
| Population: | 66,697 (July 2018 est.) |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | Guernsey 52%, UK and Ireland 23.7%, Portugal 2.1%, Latvia 1.5%, other 6.7%, unspecified 14.1% |
| Ethnic groups: | note: data represent population by country of birth; the native population is of British and Norman-French descent |
| Languages: | English, French, Norman-French dialect spoken in country districts |
| Religions: | Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic |
| Age structure: | 0-14 years: 14.51% (male 4,994 /female 4,686) |
| Age structure: | 15-24 years: 10.89% (male 3,711 /female 3,553) |
| Age structure: | 25-54 years: 41.41% (male 13,958 /female 13,658) |
| Age structure: | 55-64 years: 13.38% (male 4,425 /female 4,496) |
| Age structure: | 65 years and over: 19.81% (male 6,038 /female 7,178) (2018 est.) |
| Dependency ratios: | total dependency ratio: 47.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 25.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.9 (2015 est.) |
| Dependency ratios: | note: data represent the Guernsey and Jersey |
| Median age: | total: 44 years (2018 est.) |
| Median age: | male: 42.7 years |
| Median age: | female: 45.3 years |
| Population growth rate: | 0.28% (2018 est.) |
| Birth rate: | 9.8 births/1,000 population (2018 est.) |
| Death rate: | 9 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.1 migrant(s)/1,000 population (2018 est.) |
| Urbanization: | urban population: 30.9% of total population (2019) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2015-20 est.) |
| Urbanization: | note: data represent Guernsey and Jersey |
| Major urban areas - population: | 16,000 SAINT PETER PORT (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 82.7 years (2018 est.) |
| Life expectancy at birth: | male: 80 years |
| Life expectancy at birth: | female: 85.5 years |
| Total fertility rate: | 1.57 children born/woman (2018 est.) |
| Current Health Expenditure: | HIV/AIDS - adult prevalence rate: |
| Current Health Expenditure: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
